district,Disbursement No.,Disbursement Amt.,Outstanding No.,Outstanding Amt.
Anjaw,0,0,0,0
Changlang,0,0,0,0
Dibang Valley,0,0,0,0
East Kameng,0,0,0,0
East Siang,2,0.7,72,10.44
Kamle,0,0,1,0.42
Kra Daadi,0,0,0,0
Kurung Kumey,0,0,0,0
Lepa Rada,0,0,0,0
Lohit,0,0,1,0.7
Longding,0,0,0,0
Lower Dibang Valley,0,0,0,0
Lower Siang,0,0,0,0
Lower Subansiri,1,0.27,1,0.25
Namsai,0,0,0,0
Pakke Kessang,0,0,0,0
Papum Pare,0,0,806,198.59
Shi Yomi,0,0,0,0
Siang,0,0,0,0
Tawang,0,0,0,0
Tirap,0,0,0,0
Upper Siang,0,0,0,0
Upper Subansiri,0,0,0,0
West Kameng,0,0,0,0
West Siang,1,0.32,1,0.22
