District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,OS No.,of which girl student OS No.,OS Amt,of which girl student OS Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,2,2,6.24,6.24,4,3,6.81,6.7,16,12,44.07,34.14
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0.68,0,0,0,0,1,0,5.5,0
East Siang,4,2,42.23,41.88,5,3,22.33,19.09,30,15,129.95,73.83
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0,0,1,0,2.34,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,0,0,0,0
Lohit,4,3,20.01,15,4,2,12.26,8.8,18,10,75.04,36.67
Longding,1,1,0.9,0.9,2,1,1.75,0.9,12,7,34.11,13.22
Lower Dibang Valley,1,0,2.78,2.23,2,1,5.48,2.73,6,3,24.7,12.84
Lower Siang,1,1,1.5,0,2,1,1.96,1.5,8,3,23.46,8.84
Lower Subansiri,5,4,25.04,20.82,3,3,5.11,4.11,21,11,65.34,36.66
Namsai,2,1,3.49,3.05,6,3,6.87,3.93,12,6,30.58,17.04
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,12,8,131.45,92.16,31,17,127.09,75.8,184,93,797.72,443.06
Shi Yomi,0,0,0,0,0,0,0,0,1,0,3.15,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,0,0,0,0,2,1,13.3,9.5
Tirap,1,1,1.81,1.81,3,1,4.49,1.8,12,6,37.16,20.02
Upper Siang,0,0,0,0,0,0,0,0,2,0,5.29,0
Upper Subansiri,0,0,0,0,1,0,1.39,0,11,6,29.98,20.89
West Kameng,1,1,1.43,1.43,1,1,1.44,1.79,16,9,62.72,36.78
West Siang,0,0,0,0,1,0,1.66,0,6,3,19.85,6.09
