District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S Amt,of which girl student O/S Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,6,4,13.77,11.07,7,5,14.56,12.9,17,10,46.59,29.26
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,1,0,6.16,0
East Siang,4,3,7.41,6.38,10,6,14.05,9.72,25,12,108.93,54.75
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,1,0,0.55,0,1,0,2.22,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,1,1,1,4.83,0,0,0,0
Lohit,1,0,2.68,0,4,1,7.2,1.29,12,7,48.61,27.05
Longding,4,2,8.98,2.38,5,2,9.72,2.31,11,6,32.53,13.74
Lower Dibang Valley,1,1,2.98,2.98,1,1,2.83,2.83,3,2,12.37,7.12
Lower Siang,2,0,3.71,0,4,0,11.42,0,7,2,20.83,8.33
Lower Subansiri,0,0,0,0,3,3,4.57,3.01,15,8,43.25,25.03
Namsai,4,2,6.49,2.91,4,2,8.27,4.88,13,6,28.8,15.12
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,41,26,333.81,189.58,73,44,259.12,183.68,231,109,862.06,404.54
Shi Yomi,0,0,0,0,0,0,0,0,1,0,3.31,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,0,0,0,0,3,1,15.24,9.15
Tirap,5,3,16.82,9.29,4,2,15.54,8.05,11,5,34.96,18.71
Upper Siang,0,0,0,0,0,0,0,0,2,0,5.86,0
Upper Subansiri,1,0,1.01,0,3,3,4.07,2.87,12,7,32.94,24.1
West Kameng,1,1,1.79,1.79,3,2,6.44,1.74,13,7,56.97,35.93
West Siang,0,0,0,0,1,0,2.09,0,6,3,20.12,7.01
