Statement of Progress during Quarter ended—September 2025,,,,,,,,,,,
Name of state: Meghalaya,,,,Name of RBI Office: Shillong,,,,,,,
Sr No,Name of District,Name of Sch. Comm. Bank selected for allottment of villages <2000 population,No. of allotted village,No. of villages where banking outlet opened upto the end of the quarterSeptember 2025,,,,,,,
,,,,Covered by Branches,BC,,,,,Other Modes,Grand Total (5+10+11)
,,,,,Fixed location,Banking through BC visits every week,Banking through BC visits once in a fortnight,Banking through BC visits more than once in a fortnight,BCs-Sub total =6+7+8+9,,
[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12]
A1,West Garo Hills,AXIS,33,0,0,14,19,0,33,0,33
A2,West Garo Hills,CBI,33,1,0,18,14,0,32,0,33
A3,West Garo Hills,ICICI,22,0,0,22,0,0,22,0,22
A4,West Garo Hills,MCAB,132,132,0,0,0,0,0,0,132
,West Garo Hills,MRB,137,70,5,18,44,0,67,0,137
A6,West Garo Hills,SBI,610,29,0,581,0,0,581,0,610
A7,West Garo Hills,UNI,56,56,0,0,0,0,0,0,56
A8,West Garo Hills,IPPB,10,0,0,10,0,0,10,0,10
,,Total,1033,288,5,663,77,0,745,0,1033
B1,East Garo Hills,ICICI,94,0,80,0,0,0,80,0,80
B2,East Garo Hills,SBI,449,104,0,23,322,,345,0,449
B3,East Garo Hills,PNB(e-UBI),15,1,14,0,0,0,14,0,15
B4,East Garo Hills,MRB,14,0,14,0,0,0,14,0,14
,,Total B,558,105,94,23,322,0,439,0,558
C1,South Garo Hills,MCAB,72,72,0,0,0,0,0,0,72
C2,South Garo Hills,SBI,548,103,5,16,424,0,445,0,548
C3,South Garo Hills,IPPB,111,0,0,111,0,0,111,0,111
,,Total C,731,175,5,127,424,0,556,0,731
D1,West Khasi Hills,CBI,68,1,2,65,0,0,67,0,68
D2,West Khasi Hills,HDFC,74,0,2,45,0,27,74,0,74
D3,West Khasi Hills,MRB,514,133,6,160,215,0,381,0,514
D4,West Khasi Hills,SBI,67,3,,64,,,64,0,67
D5,West Khasi Hills,PNB(e-UBI),73,34,0,39,0,0,39,0,73
,,Total D,796,171,10,373,215,27,625,0,796
E1,East Jaintia Hills,IND(e-ALB),11,1,1,4,5,0,10,0,11
E2,East Jaintia Hills,AXIS,9,0,0,9,0,0,9,0,9
E3,East Jaintia Hills,CAN,4,4,0,0,0,0,0,0,4
E4,East Jaintia Hills,HDFC,17,1,1,13,0,2,16,0,17
E5,East Jaintia Hills,MRB,38,6,0,12,20,,32,,38
E6,East Jaintia Hills,PNB (e-UBI),64,52,2,10,0,0,12,0,64
E7,East Jaintia Hills,SBI,49,0,0,49,0,0,49,0,49
,,Total E,192,64,4,97,25,2,128,0,192
F1,West Jaintia Hills,AXIS,9,0,0,9,0,0,9,0,9
F2,West Jaintia Hills,BOB,8,8,0,0,0,0,0,0,8
F3,West Jaintia Hills,CAN,23,9,0,0,14,0,14,0,23
F4,West Jaintia Hills,HDFC,18,1,1,16,0,0,17,0,18
