14,Total Cropped Area,2012-13
15,Net Area Sown,2012-13
16,Index of Industrial Production (Base Trienium ending 1993-94=100),
17,Post Office per lakh population,2011
18,All Scheduled Commercial Banks per Lakhs Population,2014-15
19,Employment on Organised Sector,2010
,(i) Public Sector,2010
,(ii) Private Sector,2010
2,12 Banks with CDR less than 30% to ensure that they cross the threshold.,"Canara, Indi- an Bank, PSB, UCO, Band- han, Federal, KMB, SIB, YES, JSF, SSFB, TCUB"
3,"JSF, KMB and ESAF to start giving loans under Priority Sector Lending","JSF, KMB AND ESAF"
4,Banks to increase sanctioning PM Surya Muft Bijli Yojana and PM Vish- wakarma from present level. SLBC and Industries Deptt to chalk out plan to organise district wise loan melas for PM Vishwakarma,All Banks & SLBC
5,All Banks urged to participate in CM Elevate Scheme,All Bank
6,Banks to focus on APY during the cur- rent year,All Banks
7,Axis Bank to make Rongara Branch functional by 25th December 2025,Axis
8,Banks to focus on PM Svanidhi 2.0 and to ensure that all eligible beneficiaries should be sanctioned.,All Banks
9,Matrix Score to be reviewed to give a fair score to smaller banks,Secy Finance and SLBC
13,"All banks to maintain Data Uni- formity to ensure accuracy, reli- ability and meaningful analysis. Banks to meticulously ensure usage of Scale of Finance while financing KCC.",SLBC and Banks
14,"ATM to be installed in Rerapara Block, South Garo Hills.",SLBC
15,Banks to finance the shortfall to beneficiaries of PMAY (G) as the amount under the scheme is not sufficient to fund the cost of house construction.,All Banks
16,Banks to explore financing of Farmers Producers Organisation through Cash Credit to promote agricultural production,All Banks
17,Banks to educate Headmen/Sec- retary of villages regarding banks schemes.,All Banks
204,9,18
127,9,24
117,1,3
448,19,45
126,1,7
146,10,27
246,1,2
518,12,36
2722,228,188
641,3,6
3363,231,194
963449.65,20294.39,82034.3
782114.22,41045.57,144870
2349162.31,9829.41,89356.77
4094726.18,71169.37,316261.07
575808.17,8032.1,21836.26
375805.34,20259.31,55550.57
1059889.83,3428.12,22647.89
2011503.34,31719.53,100034.72
59.77,39.58,26.62
48.05,49.36,38.35
45.12,34.88,25.35
49.12,44.57,31.63
156293,9793,8111
264363.54,8651.58,19687.68
47854,3167,1689
23413.71,1794.23,875.1
8.86,20.74,4.44
56484,2002,5745
474256.36,5117.83,27281.22
11353,410,948
20993.7,850.31,2359.82
114169,8429,5839
78697.73,5427.31,4676.92
23615,685,1623
20999.01,1242.44,1731.88
15510,561,527
158255.55,1932.27,13163.58
2999,118,122
6411.25,49.56,115.3
156293,9793,8111
264363.54,8651.58,19687.68
51957,2000,5385
365200.93,5105.34,20384.83
1513,2,359
82138.71,12.49,6873.97
122,0,1
25912.42,0,22.42
2892,0,0
1004.3,0,0
56484,2002,5745
474256.36,5117.83,27281.22
0,0,0
0,0,0
3869,166,204
15890.49,397.59,475.83
5912,154,435
65511.56,1697.83,5195.73
127,1,11
385.59,2.61,19.66
383,1,1
835.73,1.61,0.62
10864,40,593
8760.39,79.51,590.17
21155,362,1244
91383.76,2179.15,6282.01
522,0,103
120.29,0,7.55
634,1,5
13245.95,3.49,110.74
7166,50,188
145236.22,685.82,4422.23
40447,1309,3124
145766.67,4205.35,10896.77
178029,2889,8413
877127.63,10918.42,31456.95
226798,4249,11833
1181496.76,15813.08,46894.24
6685,60,300
10770.53,82.69,369.82
0.91,0.52,0.79
123341,6064,6280
112630.86,5215,7536.55
33126,1592,2481
31724.16,1607.6,2190.3
28.17,30.83,29.06
86456,3640,5336
69316,3621,5446.8
27432,1367,1953
21550.63,1177.95,1500.16
31.09,32.53,27.54
69742,628,5843
248147,2090,14619
27432,1367,1953
21550.63,1177.95,1500.16
21,0,0
41.12,0,0
0,0,0
0,0,0
285,0,2
461.77,0,3.24
17,0,2
84.91,0,11.08
8.41,0,0.22
4052,189,444
6558.46,392.96,566.22
337,2,24
773.8,3.3,28.65
639,2,44
1918.67,5.83,63.32
33126,1592,2481
31724.16,1607.6,2190.3
7273,149,589
60418.23,608.92,3059.36
3336,121,197
32335.62,326.21,1721.4
560,0,57
26532.74,0,672.97
254,0,7
22344.46,0,620.62
31,0,0
12107.39,0,0
16,0,0
56,3,5
100.21,1.15,2.27
511,0,0
252.87,0,0
0,0,0
0,0,0
0,0,0
0,0,0
12167,280,873
163328.67,977.45,6188.96
0,0,0
0,0,0
1185,59,86
1947.39,89.01,97.38
677,20,67
5222.36,158.92,1068.83
7,0,0
39.51,0,0
340,1,1
1007.83,1.6,1.6
725,0,0
311.17,0,0
2934,80,154
8528.26,249.53,1167.81
40458,1577,3871
62632.16,1785.12,9488.12
19,0,2
30.33,0,0
0,0,0
0,0,0
0,0,0
0,0,0
355,2,4
3188.7,13.84,16.1
880,12,26
17506.15,176.86,495.38
5195,144,459
32793.32,1032.95,2734.64
38754,486,2046
308131.51,2641.39,9747.65
45203,644,2537
361650.01,3865.04,12993.77
32403,2708,1309
17268.64,1664.4,741.67
1701,62,97
683.6,48.84,45.29
13070,393,275
4117.95,80.57,80.35
680,4,8
1343.52,0.42,7.79
10921,401,892
19327.62,825.35,2187
125,2,27
1067.36,12.49,103.35
478.13,12.47,69.47
16,0,0
28,0,0
0,0,0
0,0,0
115,8,8
291.16,17.52,27.83
233,3,13
1019.2,6.94,67.35
80,1,10
188.23,2.61,14.75
,,
,,lanosreP oN naoL
,,SPN gnisuoH tmA
,,gnisuoH oN SPN
,,noitacudE tmA SPN
,,noitacudE oN SPN
,,SPN tmA irgA
,,oN SPN irgA
,,-kaeW tmA snaoL re
,,oN snaoL rekaeW
,,tmA SP rehtO
,,SP rehtO oN
,,-weneR elba tmA
,,elbaweneR oN
32403,2708,1309
17268.64,1664.4,741.67
1701,62,97
683.6,48.84,45.29
13070,393,275
4117.95,80.57,80.35
680,4,8
1343.52,0.42,7.79
47854,3167,1689
23413.71,1794.23,875.1
10921,401,892
19327.62,825.35,2187
125,2,27
1067.36,12.49,103.35
39,0,0
92.59,0,0
252,7,29
478.13,12.47,69.47
16,0,0
28,0,0
11353,410,948
20993.7,850.31,2359.82
0,0,0
0,0,0
115,8,8
291.16,17.52,27.83
233,3,13
1019.2,6.94,67.35
80,1,10
188.23,2.61,14.75
0,0,0
0,0,0
2546,40,117
2880.43,79.51,317.85
2974,52,148
4379.02,106.58,427.78
46,0,22
9.96,0,4.15
0,0,0
0,0,0
28,0,0
337.81,0,0
1708,29,68
3372.98,41.61,108.74
4903,31,210
7049.78,41.08,256.93
6685,60,300
10770.53,82.69,369.82
160315,9769,9243
137588.91,7352.85,12520.03
1602,5,16
5279.96,11.19,184.02
39286,867,3631
150834.15,3546.91,16750.46
140,8,5
13.39,0.57,0.39
11000,701,1326
16433.02,1462.71,2527.65
19890,1151,2020
30759.33,2521.03,3631.52
886,11,20
896.5,13.79,29.03
2067,7,73
1980.29,7.54,137.79
82,1,11
70.78,0.16,15.38
42,0,4
32.53,0,5.38
12240,650,926
17512.63,739.32,1240.48
119999,8558,6576
77905.09,5387.14,4604.78
37100,2567,2253
17565,420,997
143,12,4
160.3,9.48,6.05
1202,72,57
952.36,43.08,59.84
16,4,0
10,4,0
22,0,0
13.92,0,0
244,32,12
162.96,12.16,2.57
0,0,0
0,0,0
7449,600,500
7016.56,556.74,528.09
4371,61,315
4697.16,62.84,355.29
102321,7801,5284
77531.38,5187.01,4752.99
31700,2640,1273
16946.67,1622.97,680.49
310,2,21
210.78,0,15.06
68,10,1
316,25,14
235.49,14.68,14.04
0,0,0
34.84,0,0
3,0,0
1.13,0,0
123,32,10
42.41,12.16,2.2
86,8,3
27.49,3.38,0.84
770,47,60
516,47,41
4211.85,122.64,116.61
2097.19,122.64,76.51
1446,60,89
928,60,56
4801.59,101.84,113.79
2118.44,98.04,70.85
4491,167,206
2551,131,131
28818.83,401.07,586.58
12016.14,302.73,316.97
27.01,0.68,1.33
1174,38,93
2376.22,110.92,255.57
2272,99,334
135.46,36.66,5.56
2371,79,199
4852.58,219.75,522.71
14395,1145,1762
24033.9,2429.55,3244.34
504,34,24
370.14,19.78,34.01
1.54,0.81,1.05
22064,209,805
6086.91,137.72,175.46
2707,26,126
486.01,22.44,29.4
25752,532,2191
31886.65,881.03,3182.18
2867,85,365
3569.67,118.31,477.23
5006,120,486
28332.24,683.94,2856.76
614,31,54
2862.84,123.2,301.7
30,3,0
325.02,20.02,0
0,0,0
0,0,0
52852,864,3482
66630.82,1722.71,6214.4
6188,142,545
6918.52,263.95,808.33
154.56,15.32,13.01
17431,1221,1478
36528.09,1973.83,4158.59
2674,70,9
12323.21,86.36,36.22
59,5,0
289.72,1.02,0
259,0,1
1966.6,0,6
3,0,0
1.21,0,0
15,0,2
1240.91,0,205
20441,1296,1490
52349.74,2061.21,4405.81
89308,6889,7213
234118.74,9445.47,23793.13
10539,172,104
44788.43,449.86,327.64
283,8,1
1459.38,10.74,0.07
893,8,8
5047.27,13.16,18.33
17,1,2
1.78,0,0
51,0,4
1164.71,0,209.55
101091,7078,7332
286580.31,9919.23,24348.72
856,2,94
4509.89,1.49,533.12
4362,9,785
17357.63,21.23,2980.71
15861,801,1129
44652.05,1422.45,4192.78
172818,9856,11808
385396.92,14242.57,40102.13
788487,48619,65902
209989,12223,21215
418555,27187,30760
579921,33655,56357
998476,60842,87117
52149,2292,4223
315084.61,3126.75,6180.29
377712,24010,30668
227488,9031,14112
542266,21942,38358
5681,50,218
3234.19,28.15,91.3
7474,140,527
11633.24,272.82,929.61
1000,38,61
7356.19,254.54,488.74
21,2,0
262.42,7,0
14176,230,806
22486.04,562.51,1509.65
549.54,0,33.75
3,0,0
8.1,0,0
39,0,1
234.02,0,1.28
113,0,4
791.66,0,35.03
458,3,31
7231.44,17.71,649.22
45,2,4
1440.77,6.83,110.07
19.92,38.57,16.95
474919,28441,63828
1920766,99225,204879
298721,14891,28956
888525,42271,100035
2652633,124975,258214
715376,28321,59570
88343,1924,6251
1451787,72636,170114
46,6,2
46.35,0.1,1.93
0,0,0
0,0,0
42,1,0
57.01,1.5,0
19,0,1
47.13,0,3.07
151,15,6
184.66,1.41,7.58
13,0,0
18.53,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1497,19,344
2077.48,11.21,289.78
1768,41,353
2431.16,14.22,302.36
608,71,38
436.11,32.66,41.21
0,0,0
0,0,0
232,9,4
388.57,18.66,11.8
4079,0,105
1021.99,0,25.66
420,26,21
932.92,32.02,71.45
49,1,0
102.42,0.85,0
1,1,0
5.87,5.87,0
0,0,0
0,0,0
3998,150,547
6543.77,114.41,1516.6
9387,258,715
9431.65,204.47,1666.72
154433786,3795829,7918612
2468832.49,56236.94,127511.03
1819,0,311
170.47,0,35.85
63541,37,799
6310.04,2.17,84
846893,16436,41928
2018261.68,3725.58,124522.24
2863626,118653,190593
120382.44,4629.56,8796.97
800372,9427,32795
21714.17,303.72,899.8
2789.8,106.61,263.45
448,15,66
1825.84,52.07,209.83
5719,232,781
23993.72,685.74,2967.55
1767,122,134
3646.25,153.93,285.03
15.2,22.45,9.6
0,0,0
0,0,0
0,0,0
0,0,0
5,0,0
0.15,0,0
5,0,0
3,0,0
0.11,0,0
5,0,0
5,0,0
0.15,0,0
82,1,11
70.78,0.16,15.38
42,0,4
32.53,0,5.38
45.96,0,34.98
6445.44,323.88,517.97
19890,1151,2020
30759.33,2521.03,3631.52
886,11,20
896.5,13.79,29.03
2067,7,73
1980.29,7.54,137.79
6.44,0.3,3.79
8509.6,1032.85,648.34
13267,692,840
5603.94,412.22,347.2
0,0,0
0,0,0
7,0,7
9,0,9
0,0,0
0,0,0
8356,155,435
65252.46,1723.39,5195.83
7177,49,188
145811.29,660.26,4422.23
3972,41,108
57571.65,489.26,1640.63
186,7,11
1991.69,21.49,31.06
1,0,0
15,0,0
201,8,24
2179.71,26.35,109.92
,,
,,KNAB YB DETCEJER
,,
,,KNAB DESRUBSID
,,
,,YB DENOITCNAS KNAB
,,
,,OT DEDRAWROF KNAB
,,
,,TEGRAT
,,
,,KNAB EHT FO EMAN
,,.RS
(Rs In Lakhs),,
Sl No.,Bank Name,Annual target
,,No
1,Bank of India,0
2,BOB,4
3,CAN,96
4,CBI,173
5,IDBI,0
6,IND,4
7,IOB,0
8,Induslnd Bank,0
9,PNB,63
10,IPPB,0
11,SBI,2006
12,UBI,14
13,UCO,10
14,UNI,0
15,NESFB,35
16,ICICI,0
17,ESAF Bank Ltd,0
Public sector,Total,2405
1,Axis,0
2,HDFC,1
3,Bandhan,0
Private sector,Total,1
1,MLRB,9903
RRB,Total,9903
1,MCAB,3297
Co. Apex Bank,Total,3297
Grand Total,,15606
F8,West Jaintia Hills,PNB (e-UBI)
F9,West Jaintia Hills,SBI
F10,West Jaintia Hills,UCO
,,Total F
G1,East Khasi Hills,BOB (e-Vij)
G2,East Khasi Hills,CBI
G3,East Khasi Hills,HDFC
G4,East Khasi Hills,MCAB
G5,East Khasi Hills,MRB
G6,East Khasi Hills,PNB (e-UBI)
G7,East Khasi Hills,SBI
G8,East Khasi Hills,CAN (e-SYN)
G9,East Khasi Hills,UCO
G10,East Khasi Hills,UNI
,,Total G
H1,Ribhoi,CAN(e-SYN)
H2,Ribhoi,CBI
H3,Ribhoi,Union (e-COR)
H4,Ribhoi,HDFC
H5,Ribhoi,ICICI
H6,Ribhoi,IND
H7,Ribhoi,MCAB
H8,Ribhoi,MRB
H9,Ribhoi,SBI
H10,Ribhoi,PNB (e-UBI)
,,Total H
I1,South West Garo Hills,MCAB
I2,South West Garo Hills,MRB
I3,South West Garo Hills,SBI
,,Total I
J1,South West Khasi Hills,MRB
J2,South West Khasi Hills,SBI
,,Total J
K1,North Garo Hills,MCAB
K2,North Garo Hills,MRB
K3,North Garo Hills,SBI
K4,North Garo Hills,PNB(e-UBI)
,,Total K
Meghalaya Total (A to K),,
PNB Mawphlang,900,23
MRB Nongstoin,700,10
SBI Tura,800,14
"MCAB, Williamnagar",700,7
SBI Umran,900,20
Total,4000,74
eulaV knaB,901,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,98,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,05,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,8,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,62,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,51,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,62,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,9,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
,,
eulaV retrauQ,0,0
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,2,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,3,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,21,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,5,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,4,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,5,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,8,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,3,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,3,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,4,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,91,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,7,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,8,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,31,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,2,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,2,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,1,0
puorG/retemaraP,HCNARB,CRU ni gninepO rB
,KROWTEN FO ERAHS,
,CISAB,
eulaV knaB,,
puorG/retemaraP,,
