district,mar_23_cd_ratio,sept_23_cd_ratio,dec_23,total_deposit,col_5,col_6,total_advance_utilized_in_the_state,col_8,cd_ratio
Angul,73.92,64.98,18241.95,,,11868.89,,,65.06
Balangir,93.02,94.10,9190.10,,,9056.94,,,98.55
Balasore,69.05,70.58,18113.25,,,13693.04,,,75.60
Bargarh,108.66,109.49,8267.31,,,9148.74,,,110.66
Bhadrak,89.11,90.90,8631.25,,,7816.15,,,90.56
Boudh,144.65,157.11,1636.36,,,2422.25,,,148.03
Cuttack,62.96,64.00,39378.76,,,25475.59,,,64.69
Deogarh,64.74,66.14,1941.84,,,1330.77,,,68.53
Dhenkanal,80.99,81.72,8464.90,,,6917.02,,,81.71
Gajapati,61.41,63.39,3121.46,,,2088.57,,,66.91
Ganjam,71.05,75.00,28502.33,,,21893.57,,,76.81
Jagatsinghpur,49.90,57.26,13845.93,,,8840.63,,,63.85
Jajpur,119.20,116.78,13813.76,,,15225.50,,,110.22
Jharsuguda,303.89,267.72,7817.28,,,21464.88,,,274.58
Kalahandi,120.93,143.63,6215.38,,,8699.04,,,139.96
Kandhamal,73.94,72.85,3216.67,,,2474.64,,,76.93
Kendrapara,74.41,76.23,8519.99,,,6722.78,,,78.91
Khordha,75.51,77.54,170844.43,,,133441.15,,,78.11
Koraput,72.29,74.20,8002.95,,,6195.15,,,77.41
Malkangiri,71.05,74.95,2260.54,,,1759.12,,,77.82
Mayurbhanj,55.27,55.50,15433.93,,,9432.37,,,61.11
Nabarangpur,98.17,98.92,2998.84,,,3128.39,,,104.32
Nayagarh,92.4,92.95,5237.67,,,5036.49,,,96.16
Nuapada,107.06,108.49,2535.86,,,2695.21,,,106.28
Puri,62.48,61.09,13422.13,,,8599.96,,,64.07
Rayagada,130.62,132.26,4850.87,,,6353.17,,,130.97
Sambalpur,101.41,107.69,28769.10,,,30960.40,,,107.62
Subarnapur,122.29,125.21,2908.27,,,3578.28,,,123.04
Sundargarh,66.06,62.32,29975.63,,,18236.51,,,60.84
