District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S Amt,of which girl student O/S Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,4,3,14.97,13.03,9,7,21.89,19.53,21,14,86.09,52.83
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,2,0,5.26,0
East Siang,4,3,60.86,58.61,11,5,44.77,34.88,30,16,184.71,134.87
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0,0,1,0,2.66,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,1,1,2.95,2.95
Lohit,1,1,0.89,0.89,6,3,29.74,3.75,16,10,131.31,42.04
Longding,4,4,4.48,4.48,11,7,10.82,7.73,15,11,47.25,25.23
Lower Dibang Valley,2,2,3.34,3.34,5,4,7.53,6.23,9,6,32.44,19.77
Lower Siang,1,0,2.12,0,3,1,3.83,0.92,9,4,25.92,9.99
Lower Subansiri,7,4,42.45,35.52,15,10,39.94,30.84,26,16,73.97,61.15
Namsai,6,4,31.75,4.25,14,8,18.86,9.66,21,12,71.19,32.06
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,41,22,350.39,129.66,69,39,217.01,82.4,214,106,1122.68,538.31
Shi Yomi,0,0,0,0,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,1,0,1.63,0,1,0,1.57,0,3,1,13.44,8.8
Tirap,0,0,0,0,3,2,5.82,3.95,10,5,45.26,27.29
Upper Siang,0,0,0,0,0,0,0,0,2,0,2.94,0
Upper Subansiri,0,0,0,0,2,1,1.23,0,10,5,27.13,17.9
West Kameng,1,1,4.64,4.64,4,2,10.56,8.84,17,9,58.5,27.89
West Siang,0,0,0,0,0,0,0,0,6,4,23.61,4
