District,Crop Production,Water Resources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSM E Working,MSME Total,Export Cr,Education,Housing,Service Others,Social Infra,Services Total,Priority Total
Bishnupur,1010.33,0.00,11.00,0.00,183.05,467.41,11.00,199.70,78.01,1960.50,1005.09,43.12,1048.21,0.00,41.97,1050.92,0.00,30.30,1123.19,4131.90
Chandel,29.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,30.71,198.61,27.91,226.52,0.00,32.72,166.92,0.00,0.00,199.64,456.87
Churachandpur,482.93,0.00,10.24,0.00,62.42,2.00,126.33,0.00,0.43,684.35,1253.53,69.37,1322.90,0.00,66.50,1195.73,0.00,715.10,1977.33,3984.58
Imphal East,1345.19,21.55,31.15,0.00,388.87,205.05,199.98,42.15,773.39,3007.33,7668.28,543.69,8211.97,0.00,167.41,2173.20,158.69,193.23,2692.53,13911.83
Imphal West,1193.55,0.00,74.79,0.00,1275.36,536.39,1144.19,4.40,1108.15,5336.83,17248.46,3070.58,20319.04,0.00,1633.41,7653.28,7.00,132.35,9426.04,35081.91
Jiribam,43.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.43,44.10,30.50,74.60,0.00,0.00,0.00,0.00,141.89,141.89,259.92
Kakching,2047.71,0.00,0.00,0.00,164.21,225.62,193.62,0.00,27.27,2658.43,544.95,487.27,1032.22,0.00,40.68,710.5,0.00,67.75,818.93,4509.58
Kamjong,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.94,7.12,13.06,0.00,0.00,0.00,0.00,0.00,0.00,13.06
Kangpokpi,122.73,0.00,0.00,0.00,87.26,0.00,0.00,0.00,0.9,210.89,261.00,238.48,499.48,0.00,36.36,467.09,0.00,0.00,503.45,1213.82
Noney,105.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.5,111.61,145.58,6.05,151.63,0.00,0.00,0.00,0.00,0.00,0.00,263.24
Pherzawl,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Senapati,190.77,0.00,8.00,3.00,28.39,0.00,8.63,9.5,0.00,248.29,1032.3,194.96,1227.26,0.00,278.65,466.56,0.00,20.07,765.28,2240.83
Tamenglong,45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.7,55.2,279.05,15.06,294.11,0.00,4.2,50.00,0.00,67.6,121.8,471.11
Tengnoupal,76.26,0.00,0.00,0.00,0.00,0.00,9.3,0.00,0.81,86.37,408.14,39.16,447.3,0.00,0.00,276.08,0.00,5.2,281.28,814.95
Thoubal,432.37,0.00,5.42,0.00,213.84,78.00,233.53,20.00,42.42,1025.58,2273.15,337.72,2610.87,0.00,60.4,1530.43,0.00,52.65,1643.48,5279.93
Ukhrul,9.89,0.00,0.00,0.00,236.61,1.6,0.00,0.00,7.4,255.5,493.24,14.55,507.79,0.00,1.93,19.66,0.00,4.00,25.59,788.88
