period,district,amount,amount_rs_cr,disbursed_by_bank,disbursement_pending,out_of_a_disburded_by_bank_no,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_only_disbursed_by_bank_no,out_of_a_rejected_d,out_of_a_rejected_no,out_of_a_sanctioned_by_bank,out_of_a_sanctioned_by_bank_no,out_of_a_sanctioned_no,pending_at_bank_level_verified_by_pmu_stcb,pending_at_bank_level_verified_by_pmu_stcb_no,rejected,total_application_submitted_to,total_application_submitted_to_bank_a,total_no_of_applications_submitted_to_bank_a
December 2023,Alipurduar,,0.0,,,,46.0,,8.0,,88.0,,,54.0,,,0.0,,,142.0,
December 2023,Bankura,,13.11,,,,204.0,,16.0,,133.0,,,220.0,,,18.0,,,371.0,
December 2023,Birbhum,,8.03,,,,72.0,,11.0,,93.0,,,83.0,,,12.0,,,188.0,
December 2023,Cooch Behar,,4.88,,,,47.0,,21.0,,171.0,,,68.0,,,7.0,,,246.0,
December 2023,Dakshin Dinajpur,,1.41,,,,22.0,,0.0,,47.0,,,22.0,,,4.0,,,73.0,
December 2023,Darjeeling,,2.58,,,,17.0,,5.0,,91.0,,,22.0,,,8.0,,,121.0,
December 2023,Hooghly,,8.49,,,,274.0,,15.0,,79.0,,,289.0,,,20.0,,,388.0,
December 2023,Howrah,,6.73,,,,35.0,,8.0,,32.0,,,43.0,,,18.0,,,93.0,
December 2023,Jalpaiguri,,1.85,,,,33.0,,8.0,,92.0,,,41.0,,,5.0,,,138.0,
December 2023,Jhargram,,2.43,,,,25.0,,6.0,,34.0,,,31.0,,,13.0,,,78.0,
December 2023,Kalimpong,,0.0,,,,3.0,,3.0,,5.0,,,6.0,,,0.0,,,11.0,
December 2023,Kolkata,,0.0,,,,4.0,,0.0,,1.0,,,4.0,,,0.0,,,5.0,
December 2023,Malda,,8.06,,,,54.0,,31.0,,229.0,,,85.0,,,44.0,,,358.0,
December 2023,Murshidabad,,6.08,,,,116.0,,55.0,,605.0,,,171.0,,,35.0,,,811.0,
December 2023,Nadia,,9.96,,,,38.0,,6.0,,157.0,,,44.0,,,11.0,,,212.0,
December 2023,North 24 Parganas,,8.03,,,,56.0,,18.0,,321.0,,,74.0,,,18.0,,,413.0,
December 2023,Paschim Bardhaman,,0.27,,,,60.0,,4.0,,6.0,,,64.0,,,2.0,,,72.0,
December 2023,Paschim Medinipur,,8.98,,,,167.0,,14.0,,109.0,,,181.0,,,27.0,,,317.0,
December 2023,Purba Bardhaman,,23.04,,,,349.0,,29.0,,139.0,,,378.0,,,24.0,,,541.0,
December 2023,Purba Medinipur,,5.56,,,,78.0,,15.0,,226.0,,,93.0,,,16.0,,,335.0,
December 2023,Purulia,,0.57,,,,31.0,,5.0,,87.0,,,36.0,,,9.0,,,132.0,
December 2023,South 24 Parganas,,8.22,,,,33.0,,9.0,,120.0,,,42.0,,,20.0,,,182.0,
December 2023,Uttar Dinajpur,,2.02,,,,22.0,,9.0,,64.0,,,31.0,,,9.0,,,104.0,
December 2024,Alipurduar,,0.07,,,,47.0,,4.0,,85.0,,,51.0,,,3.0,,,139.0,
December 2024,Bankura,,13.39,,,,428.0,,30.0,,378.0,,,458.0,,,38.0,,,874.0,
December 2024,Birbhum,,13.72,,,,256.0,,38.0,,214.0,,,294.0,,,20.0,,,528.0,
