period,district,achievement_no_wise,amount,amount_wise,app_pending_no,coir_board_no_of_unit,dic_no_of_unit,disbursement_made_by_nodal_branches_no_of,disbursement_no,emp,forwarded_no,forwarded_to_bank_no,forwarded_to_bank_no_of_prj,forwarded_to_banks_no,kvib_no_of_unit,kvic_no_of_unit,margin_money_claimed_no_of,mm,mm_claimed,mm_claimed_no,mm_disb_pending_no,mm_disbursed_no,mm_disbursement_no,mm_involve,of_achievement_mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,pending_mm_disb_no,pending_no,rejected_by_bank_no,rejected_no,returned_by_bank_no,returned_no,row,rs_in_lac_no_of_unit,sanctioned_by_bank_no,sanctioned_by_bank_no_of,sanctioned_no,sponsored_in_fy_2023_24_no,sponsored_no,target_2020_21_no,target_for_2023_24_no,total_no_of_unit
December 2017,Murshidabad,,,,,,,25.0,,,,,883.0,,,,27.0,58.2,,,,,,91.19,,,,,,,,,,,,,38.0,,,,,,
December 2017,Nadia,,,,,,,31.0,,,,,222.0,,,,36.0,131.83,,,,,,160.0,,,,,,,,,,,,,47.0,,,,,,
December 2017,Paschim Medinipur,,,,,,,7.0,,,,,886.0,,,,10.0,14.94,,,,,,82.68,,,,,,,,,,,,,43.0,,,,,,
December 2017,Purulia,,,,,,,3.0,,,,,104.0,,,,3.0,16.27,,,,,,42.3,,,,,,,,,,,,,20.0,,,,,,
December 2017,Uttar Dinajpur,,,,,,,7.0,,,,,65.0,,,,6.0,33.29,,,,,,14.47,,,,,,,,,,,,,5.0,,,,,,
December 2019,Alipurduar,,,,,,,,,,,,,,,,,0.0,,14.0,0.0,14.0,,,,143.0,,,,,370.0,,,,,,,22.0,,539.0,,,
December 2019,Bankura,,,,,,,,,,,,,,,,,0.0,,38.0,0.0,36.0,,,,62.0,,,,,80.0,,,,,,,38.0,,171.0,,,
December 2019,Birbhum,,,,,,,,,,,,,,,,,0.0,,39.0,0.0,41.0,,,,50.0,,,,,98.0,,,,,,,44.0,,183.0,,,
December 2019,Cooch Behar,,,,,,,,,,,,,,,,,10.32,,53.0,4.0,48.0,,,,94.0,,,,,379.0,,,,,,,31.0,,498.0,,,
December 2019,Dakshin Dinajpur,,,,,,,,,,,,,,,,,0.0,,26.0,0.0,27.0,,,,39.0,,,,,29.0,,,,,,,18.0,,80.0,,,
December 2019,Darjeeling,,,,,,,,,,,,,,,,,0.0,,37.0,0.0,37.0,,,,135.0,,,,,92.0,,,,,,,29.0,,240.0,,,
December 2019,Hooghly,,,,,,,,,,,,,,,,,1.4,,28.0,1.0,29.0,,,,11.0,,,,,32.0,,,,,,,15.0,,51.0,,,
December 2019,Howrah,,,,,,,,,,,,,,,,,0.0,,37.0,0.0,38.0,,,,68.0,,,,,63.0,,,,,,,37.0,,155.0,,,
December 2019,Jalpaiguri,,,,,,,,,,,,,,,,,0.0,,7.0,0.0,7.0,,,,56.0,,,,,71.0,,,,,,,12.0,,130.0,,,
December 2019,Jhargram,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,8.0,,,,,5.0,,,,,,,0.0,,13.0,,,
December 2019,Kalimpong,,,,,,,,,,,,,,,,,0.0,,7.0,0.0,8.0,,,,3.0,,,,,4.0,,,,,,,8.0,,7.0,,,
December 2019,Kolkata,,,,,,,,,,,,,,,,,0.0,,10.0,0.0,10.0,,,,59.0,,,,,88.0,,,,,,,5.0,,154.0,,,
December 2019,Malda,,,,,,,,,,,,,,,,,1.4,,20.0,1.0,18.0,,,,42.0,,,,,66.0,,,,,,,18.0,,122.0,,,
December 2019,Murshidabad,,,,,,,,,,,,,,,,,0.0,,98.0,0.0,93.0,,,,387.0,,,,,411.0,,,,,,,90.0,,875.0,,,
December 2019,Nadia,,,,,,,,,,,,,,,,,6.97,,68.0,2.0,65.0,,,,115.0,,,,,182.0,,,,,,,81.0,,387.0,,,
December 2019,Paschim Bardhaman,,,,,,,,,,,,,,,,,0.0,,3.0,0.0,3.0,,,,13.0,,,,,41.0,,,,,,,5.0,,59.0,,,
December 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,1.75,,38.0,1.0,30.0,,,,175.0,,,,,198.0,,,,,,,47.0,,421.0,,,
December 2019,Purba Bardhaman,,,,,,,,,,,,,,,,,0.0,,44.0,0.0,44.0,,,,37.0,,,,,116.0,,,,,,,47.0,,174.0,,,
December 2019,Purulia,,,,,,,,,,,,,,,,,0.0,,22.0,0.0,24.0,,,,89.0,,,,,46.0,,,,,,,24.0,,149.0,,,
December 2019,Uttar Dinajpur,,,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,,,,6.0,,,,,16.0,,,,,,,0.0,,23.0,,,
December 2020,Alipurduar,,,,,,,,,,,382.0,,,,,,0.25,,58.0,,,44.0,,,117.0,9.0,,,,,181.0,,,,93.0,,,,,,,
December 2020,Bankura,,,,,,,,,,,171.0,,,,,,0.0,,27.0,,,27.0,,,70.0,0.0,,,,,87.0,,,,20.0,,,,,,,
December 2020,Birbhum,,,,,,,,,,,239.0,,,,,,0.01,,51.0,,,45.0,,,72.0,1.0,,,,,119.0,,,,66.0,,,,,,,
December 2020,Cooch Behar,,,,,,,,,,,437.0,,,,,,0.0,,42.0,,,43.0,,,139.0,0.0,,,,,251.0,,,,64.0,,,,,,,
December 2020,Dakshin Dinajpur,,,,,,,,,,,135.0,,,,,,0.03,,19.0,,,18.0,,,35.0,1.0,,,,,75.0,,,,26.0,,,,,,,
December 2020,Darjeeling,,,,,,,,,,,191.0,,,,,,0.0,,36.0,,,35.0,,,99.0,0.0,,,,,60.0,,,,50.0,,,,,,,
December 2020,Hooghly,,,,,,,,,,,116.0,,,,,,0.0,,16.0,,,16.0,,,38.0,0.0,,,,,56.0,,,,22.0,,,,,,,
December 2020,Howrah,,,,,,,,,,,160.0,,,,,,0.0,,17.0,,,17.0,,,81.0,0.0,,,,,69.0,,,,14.0,,,,,,,
December 2020,Jalpaiguri,,,,,,,,,,,401.0,,,,,,0.0,,17.0,,,15.0,,,132.0,0.0,,,,,237.0,,,,33.0,,,,,,,
December 2020,Jhargram,,,,,,,,,,,11.0,,,,,,0.01,,6.0,,,5.0,,,5.0,1.0,,,,,5.0,,,,5.0,,,,,,,
December 2020,Kalimpong,,,,,,,,,,,38.0,,,,,,0.02,,2.0,,,0.0,,,20.0,2.0,,,,,16.0,,,,4.0,,,,,,,
December 2020,Kolkata,,,,,,,,,,,106.0,,,,,,0.01,,3.0,,,2.0,,,47.0,1.0,,,,,40.0,,,,22.0,,,,,,,
December 2020,Malda,,,,,,,,,,,183.0,,,,,,0.01,,26.0,,,25.0,,,59.0,1.0,,,,,96.0,,,,33.0,,,,,,,
December 2020,Murshidabad,,,,,,,,,,,633.0,,,,,,0.09,,96.0,,,90.0,,,215.0,6.0,,,,,325.0,,,,105.0,,,,,,,
December 2020,Nadia,,,,,,,,,,,257.0,,,,,,0.06,,69.0,,,68.0,,,124.0,1.0,,,,,86.0,,,,69.0,,,,,,,
December 2020,North 24 Parganas,,,,,,,,,,,1240.0,,,,,,0.18,,102.0,,,98.0,,,348.0,6.0,,,,,788.0,,,,107.0,,,,,,,
December 2020,Paschim Bardhaman,,,,,,,,,,,23.0,,,,,,0.0,,4.0,,,4.0,,,8.0,0.0,,,,,13.0,,,,3.0,,,,,,,
December 2020,Paschim Medinipur,,,,,,,,,,,237.0,,,,,,0.0,,36.0,,,35.0,,,110.0,0.0,,,,,87.0,,,,51.0,,,,,,,
December 2020,Purulia,,,,,,,,,,,187.0,,,,,,0.06,,12.0,,,11.0,,,70.0,1.0,,,,,101.0,,,,26.0,,,,,,,
December 2020,South 24 Parganas,,,,,,,,,,,820.0,,,,,,0.12,,70.0,,,65.0,,,244.0,2.0,,,,,520.0,,,,83.0,,,,,,,
December 2020,Uttar Dinajpur,,,,,,,,,,,61.0,,,,,,0.0,,2.0,,,2.0,,,38.0,0.0,,,,,20.0,,,,7.0,,,,,,,
June 2019,Alipurduar,,,,,,,,,,,,,308.0,,,,3.5,,4.0,,2.0,,,,,1.0,,130.0,,176.0,,,,,,,3.0,,,,,
June 2019,Bankura,,,,,,,,,,,,,6.0,,,,0.0,,14.0,,14.0,,,,,0.0,,3.0,,1.0,,,,,,,10.0,,,,,
June 2019,Birbhum,,,,,,,,,,,,,0.0,,,,0.0,,7.0,,7.0,,,,,0.0,,0.0,,0.0,,,,,,,5.0,,,,,
June 2019,Cooch Behar,,,,,,,,,,,,,463.0,,,,6.87,,15.0,,7.0,,,,,5.0,,293.0,,163.0,,,,,,,2.0,,,,,
June 2019,Darjeeling,,,,,,,,,,,,,4.0,,,,0.0,,4.0,,3.0,,,,,0.0,,3.0,,1.0,,,,,,,17.0,,,,,
June 2019,Hooghly,,,,,,,,,,,,,1.0,,,,13.96,,6.0,,4.0,,,,,2.0,,0.0,,0.0,,,,,,,4.0,,,,,
June 2019,Howrah,,,,,,,,,,,,,19.0,,,,0.0,,6.0,,6.0,,,,,0.0,,13.0,,2.0,,,,,,,13.0,,,,,
June 2019,Jalpaiguri,,,,,,,,,,,,,56.0,,,,0.0,,2.0,,1.0,,,,,0.0,,41.0,,15.0,,,,,,,3.0,,,,,
June 2019,Kalimpong,,,,,,,,,,,,,2.0,,,,0.0,,1.0,,0.0,,,,,0.0,,2.0,,0.0,,,,,,,1.0,,,,,
June 2019,Kolkata,,,,,,,,,,,,,122.0,,,,2.83,,1.0,,0.0,,,,,1.0,,91.0,,29.0,,,,,,,1.0,,,,,
June 2019,Malda,,,,,,,,,,,,,3.0,,,,0.0,,1.0,,1.0,,,,,0.0,,2.0,,1.0,,,,,,,2.0,,,,,
June 2019,Murshidabad,,,,,,,,,,,,,7.0,,,,11.7,,30.0,,23.0,,,,,6.0,,4.0,,1.0,,,,,,,14.0,,,,,
June 2019,Nadia,,,,,,,,,,,,,0.0,,,,0.0,,12.0,,6.0,,,,,0.0,,0.0,,0.0,,,,,,,10.0,,,,,
June 2019,North 24 Parganas,,,,,,,,,,,,,510.0,,,,0.7,,22.0,,17.0,,,,,1.0,,333.0,,160.0,,,,,,,18.0,,,,,
June 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,0.74,,6.0,,4.0,,,,,1.0,,2.0,,1.0,,,,,,,1.0,,,,,
June 2019,Purulia,,,,,,,,,,,,,0.0,,,,0.0,,5.0,,5.0,,,,,0.0,,0.0,,0.0,,,,,,,7.0,,,,,
June 2019,South 24 Parganas,,,,,,,,,,,,,9.0,,,,9.45,,33.0,,26.0,,,,,2.0,,6.0,,2.0,,,,,,,33.0,,,,,
June 2021,Alipurduar,,1.1,,36.0,,,,,,,66.0,,,,,,,,5.0,,11.0,,,,,,,,,,,21.0,,,,,12.0,,,,,
June 2021,Bankura,,0.1,,3.0,,,,,,,15.0,,,,,,,,0.0,,1.0,,,,,,,,,,,12.0,,,,,4.0,,,,,
June 2021,Birbhum,,0.18,,6.0,,,,,,,15.0,,,,,,,,10.0,,11.0,,,,,,,,,,,5.0,,,,,17.0,,,,,
June 2021,Cooch Behar,,0.27,,10.0,,,,,,,15.0,,,,,,,,2.0,,4.0,,,,,,,,,,,4.0,,,,,12.0,,,,,
June 2021,Darjeeling,,0.61,,18.0,,,,,,,24.0,,,,,,,,4.0,,11.0,,,,,,,,,,,6.0,,,,,5.0,,,,,
June 2021,Hooghly,,0.89,,36.0,,,,,,,76.0,,,,,,,,3.0,,5.0,,,,,,,,,,,18.0,,,,,9.0,,,,,
June 2021,Howrah,,0.65,,26.0,,,,,,,44.0,,,,,,,,0.0,,7.0,,,,,,,,,,,9.0,,,,,6.0,,,,,
June 2021,Jalpaiguri,,1.54,,88.0,,,,,,,144.0,,,,,,,,5.0,,6.0,,,,,,,,,,,18.0,,,,,20.0,,,,,
June 2021,Jhargram,,0.18,,3.0,,,,,,,4.0,,,,,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,1.0,,,,,
June 2021,Kalimpong,,0.07,,3.0,,,,,,,7.0,,,,,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,3.0,,,,,
June 2021,Kolkata,,0.0,,0.0,,,,,,,0.0,,,,,,,,0.0,,1.0,,,,,,,,,,,0.0,,,,,0.0,,,,,
June 2021,Malda,,1.04,,31.0,,,,,,,67.0,,,,,,,,4.0,,6.0,,,,,,,,,,,17.0,,,,,6.0,,,,,
June 2021,Murshidabad,,1.2,,36.0,,,,,,,90.0,,,,,,,,18.0,,22.0,,,,,,,,,,,16.0,,,,,45.0,,,,,
June 2021,Nadia,,1.01,,17.0,,,,,,,25.0,,,,,,,,2.0,,6.0,,,,,,,,,,,8.0,,,,,2.0,,,,,
June 2021,North 24 Parganas,,2.57,,76.0,,,,,,,130.0,,,,,,,,22.0,,27.0,,,,,,,,,,,17.0,,,,,37.0,,,,,
June 2021,Paschim Bardhaman,,0.12,,2.0,,,,,,,2.0,,,,,,,,0.0,,1.0,,,,,,,,,,,0.0,,,,,1.0,,,,,
June 2021,Paschim Medinipur,,1.77,,46.0,,,,,,,75.0,,,,,,,,7.0,,9.0,,,,,,,,,,,17.0,,,,,6.0,,,,,
June 2021,Purulia,,0.15,,6.0,,,,,,,7.0,,,,,,,,3.0,,1.0,,,,,,,,,,,0.0,,,,,3.0,,,,,
June 2021,South 24 Parganas,,1.35,,31.0,,,,,,,65.0,,,,,,,,20.0,,21.0,,,,,,,,,,,15.0,,,,,38.0,,,,,
June 2021,Uttar Dinajpur,,0.05,,2.0,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,,,,,2.0,,,,,
June 2023,Alipurduar,,3.66,,,,,,,,,,,,,,,,,28.0,,19.0,,,9.5,,,,,,,,9.0,,,,,19.0,58.0,,,200.0,
June 2023,Bankura,,8.07,,,,,,,,,,,,,,,,,21.0,,5.0,,,2.94,,,,,,,,10.0,,,,,11.0,55.0,,,170.0,
June 2023,Birbhum,,19.55,,,,,,,,,,,,,,,,,40.0,,16.0,,,6.4,,,,,,,,55.0,,,,,38.0,161.0,,,250.0,
June 2023,Cooch Behar,,19.94,,,,,,,,,,,,,,,,,27.0,,10.0,,,4.0,,,,,,,,47.0,,,,,37.0,160.0,,,250.0,
June 2023,Dakshin Dinajpur,,1.19,,,,,,,,,,,,,,,,,10.0,,6.0,,,4.8,,,,,,,,3.0,,,,,7.0,17.0,,,125.0,
June 2023,Darjeeling,,11.95,,,,,,,,,,,,,,,,,19.0,,10.0,,,5.88,,,,,,,,12.0,,,,,23.0,61.0,,,170.0,
June 2023,Hooghly,,16.07,,,,,,,,,,,,,,,,,17.0,,4.0,,,2.67,,,,,,,,19.0,,,,,16.0,95.0,,,150.0,
June 2023,Howrah,,12.16,,,,,,,,,,,,,,,,,30.0,,8.0,,,3.2,,,,,,,,24.0,,,,,29.0,126.0,,,250.0,
June 2023,Jalpaiguri,,13.38,,,,,,,,,,,,,,,,,13.0,,7.0,,,3.5,,,,,,,,16.0,,,,,18.0,58.0,,,200.0,
June 2023,Kalimpong,,10.33,,,,,,,,,,,,,,,,,6.0,,0.0,,,0.0,,,,,,,,8.0,,,,,10.0,34.0,,,100.0,
June 2023,Kolkata,,4.15,,,,,,,,,,,,,,,,,1.0,,0.0,,,0.0,,,,,,,,8.0,,,,,3.0,28.0,,,100.0,
June 2023,Malda,,7.4,,,,,,,,,,,,,,,,,29.0,,9.0,,,5.14,,,,,,,,15.0,,,,,36.0,127.0,,,175.0,
June 2023,Murshidabad,,27.04,,,,,,,,,,,,,,,,,84.0,,33.0,,,10.15,,,,,,,,45.0,,,,,66.0,152.0,,,325.0,
June 2023,Nadia,,30.43,,,,,,,,,,,,,,,,,37.0,,20.0,,,11.76,,,,,,,,32.0,,,,,18.0,78.0,,,170.0,
June 2023,Paschim Bardhaman,,0.67,,,,,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,,,,,,1.0,,,,,2.0,5.0,,,100.0,
June 2023,Paschim Medinipur,,9.62,,,,,,,,,,,,,,,,,20.0,,11.0,,,6.47,,,,,,,,19.0,,,,,16.0,85.0,,,170.0,
June 2023,Purulia,,6.33,,,,,,,,,,,,,,,,,22.0,,7.0,,,4.12,,,,,,,,10.0,,,,,11.0,45.0,,,170.0,
June 2023,Uttar Dinajpur,,2.63,,,,,,,,,,,,,,,,,2.0,,2.0,,,1.6,,,,,,,,2.0,,,,,6.0,13.0,,,125.0,
March 2019,Alipurduar,,,,,,,,39.0,,218.0,,,,,,,0.5,,40.0,,,,,,,1.0,,69.0,,133.0,,,,,,,27.0,,,,,
March 2019,Bankura,,,,,,,,73.0,,180.0,,,,,,,3.87,,68.0,,,,,,,2.0,,91.0,,67.0,,,,,,,42.0,,,,,
March 2019,Birbhum,,,,,,,,132.0,,260.0,,,,,,,8.43,,125.0,,,,,,,3.0,,73.0,,125.0,,,,,,,92.0,,,,,
March 2019,Cooch Behar,,,,,,,,79.0,,1043.0,,,,,,,13.39,,82.0,,,,,,,10.0,,392.0,,594.0,,,,,,,86.0,,,,,
March 2019,Dakshin Dinajpur,,,,,,,,60.0,,125.0,,,,,,,4.55,,41.0,,,,,,,2.0,,51.0,,42.0,,,,,,,43.0,,,,,
March 2019,Darjeeling,,,,,,,,63.0,,267.0,,,,,,,4.09,,61.0,,,,,,,3.0,,135.0,,101.0,,,,,,,50.0,,,,,
March 2019,Hooghly,,,,,,,,51.0,,301.0,,,,,,,3.96,,46.0,,,,,,,4.0,,95.0,,182.0,,,,,,,32.0,,,,,
March 2019,Howrah,,,,,,,,69.0,,470.0,,,,,,,5.75,,64.0,,,,,,,2.0,,304.0,,129.0,,,,,,,64.0,,,,,
March 2019,Jalpaiguri,,,,,,,,42.0,,162.0,,,,,,,2.44,,42.0,,,,,,,2.0,,122.0,,32.0,,,,,,,35.0,,,,,
March 2019,Kalimpong,,,,,,,,4.0,,64.0,,,,,,,0.79,,5.0,,,,,,,1.0,,28.0,,22.0,,,,,,,14.0,,,,,
March 2019,Kolkata,,,,,,,,3.0,,104.0,,,,,,,0.0,,2.0,,,,,,,0.0,,65.0,,35.0,,,,,,,13.0,,,,,
March 2019,Malda,,,,,,,,45.0,,205.0,,,,,,,4.9,,44.0,,,,,,,3.0,,96.0,,81.0,,,,,,,43.0,,,,,
March 2019,Murshidabad,,,,,,,,117.0,,1394.0,,,,,,,0.0,,103.0,,,,,,,0.0,,635.0,,647.0,,,,,,,117.0,,,,,
March 2019,Nadia,,,,,,,,102.0,,323.0,,,,,,,0.0,,92.0,,,,,,,0.0,,124.0,,144.0,,,,,,,86.0,,,,,
March 2019,North 24 Parganas,,,,,,,,263.0,,1433.0,,,,,,,8.53,,235.0,,,,,,,3.0,,621.0,,679.0,,,,,,,262.0,,,,,
March 2019,Paschim Bardhaman,,,,,,,,2.0,,41.0,,,,,,,0.0,,2.0,,,,,,,0.0,,20.0,,17.0,,,,,,,4.0,,,,,
March 2019,Paschim Medinipur,,,,,,,,97.0,,630.0,,,,,,,0.0,,81.0,,,,,,,0.0,,321.0,,252.0,,,,,,,87.0,,,,,
March 2019,Purulia,,,,,,,,40.0,,205.0,,,,,,,11.48,,35.0,,,,,,,3.0,,138.0,,44.0,,,,,,,34.0,,,,,
March 2019,South 24 Parganas,,,,,,,,332.0,,1289.0,,,,,,,10.71,,288.0,,,,,,,2.0,,808.0,,339.0,,,,,,,233.0,,,,,
March 2019,Uttar Dinajpur,,,,,,,,7.0,,29.0,,,,,,,0.3,,6.0,,,,,,,1.0,,11.0,,17.0,,,,,,,4.0,,,,,
March 2020,Alipurduar,,,,,0.0,30.0,,,8.0,,758.0,,,30.0,15.0,,9.43,,48.0,,47.0,,,,106.0,1.0,,,596.0,,,,,1.0,58.0,,,,,,,75.0
March 2020,Bankura,,,,,0.0,40.0,,,8.0,,242.0,,,40.0,20.0,,9.43,,61.0,,61.0,,,,53.0,0.0,,,138.0,,,,,1.0,68.0,,,,,,,100.0
March 2020,Birbhum,,,,,0.0,44.0,,,8.0,,308.0,,,44.0,22.0,,9.43,,77.0,,78.0,,,,79.0,1.0,,,160.0,,,,,1.0,82.0,,,,,,,110.0
March 2020,Cooch Behar,,,,,0.0,36.0,,,8.0,,1440.0,,,36.0,18.0,,9.43,,78.0,,77.0,,,,392.0,4.0,,,965.0,,,,,1.0,95.0,,,,,,,90.0
March 2020,Dakshin Dinajpur,,,,,0.0,30.0,,,8.0,,165.0,,,30.0,15.0,,9.43,,47.0,,49.0,,,,49.0,0.0,,,85.0,,,,,1.0,41.0,,,,,,,75.0
March 2020,Darjeeling,,,,,0.0,40.0,,,8.0,,,,,40.0,20.0,,9.43,,,,,,,,,,,,,,,,,1.0,,,,,,,,100.0
March 2020,Hooghly,,,,,0.0,70.0,,,8.0,,,,,70.0,35.0,,9.43,,,,,,,,,,,,,,,,,1.0,,,,,,,,175.0
March 2020,Howrah,,,,,0.0,72.0,,,20.0,,323.0,,,72.0,36.0,,24.29,,77.0,,77.0,,,,98.0,2.0,,,177.0,,,,,3.0,78.0,,,,,,,180.0
March 2020,Jalpaiguri,,,,,0.0,32.0,,,8.0,,205.0,,,32.0,16.0,,9.43,,14.0,,15.0,,,,42.0,0.0,,,157.0,,,,,1.0,17.0,,,,,,,80.0
March 2020,Jhargram,,,,,0.0,30.0,,,8.0,,37.0,,,30.0,15.0,,9.43,,0.0,,0.0,,,,6.0,0.0,,,20.0,,,,,1.0,11.0,,,,,,,75.0
March 2020,Kalimpong,,,,,0.0,14.0,,,8.0,,66.0,,,14.0,7.0,,9.43,,8.0,,9.0,,,,58.0,0.0,,,8.0,,,,,1.0,8.0,,,,,,,35.0
March 2020,Kolkata,,,,,0.0,120.0,,,105.0,,192.0,,,120.0,60.0,,122.23,,14.0,,13.0,,,,51.0,1.0,,,133.0,,,,,13.0,10.0,,,,,,,300.0
March 2020,Malda,,,,,0.0,42.0,,,8.0,,263.0,,,42.0,21.0,,9.43,,34.0,,34.0,,,,86.0,1.0,,,158.0,,,,,1.0,27.0,,,,,,,105.0
March 2020,Murshidabad,,,,,0.0,66.0,,,8.0,,1605.0,,,66.0,33.0,,9.43,,170.0,,171.0,,,,611.0,0.0,,,811.0,,,,,1.0,216.0,,,,,,,165.0
March 2020,Nadia,,,,,0.0,60.0,,,8.0,,648.0,,,60.0,30.0,,9.43,,218.0,,216.0,,,,125.0,2.0,,,305.0,,,,,1.0,240.0,,,,,,,150.0
March 2020,North 24 Parganas,,,,,,,,,,,2688.0,,,,,,0.1,,220.0,,218.0,,,,654.0,4.0,,,1818.0,,,,,,263.0,,,,,,,
March 2020,Paschim Bardhaman,,,,,0.0,54.0,,,16.0,,100.0,,,54.0,27.0,,18.86,,11.0,,11.0,,,,17.0,0.0,,,72.0,,,,,2.0,12.0,,,,,,,135.0
March 2020,Paschim Medinipur,,,,,2.0,50.0,,,8.0,,728.0,,,50.0,26.0,,9.43,,78.0,,77.0,,,,276.0,1.0,,,386.0,,,,,1.0,76.0,,,,,,,128.0
March 2020,Purba Bardhaman,,,,,0.0,70.0,,,8.0,,454.0,,,70.0,35.0,,9.43,,71.0,,71.0,,,,146.0,0.0,,,266.0,,,,,1.0,73.0,,,,,,,175.0
March 2020,Purba Medinipur,,,,,8.0,53.0,,,14.0,,,,,53.0,26.0,,16.86,,,,,,,,,,,,,,,,,2.0,,,,,,,,140.0
March 2020,Purulia,,,,,0.0,30.0,,,8.0,,295.0,,,30.0,15.0,,9.43,,38.0,,39.0,,,,171.0,1.0,,,105.0,,,,,1.0,34.0,,,,,,,75.0
March 2020,South 24 Parganas,,,,,,,,,,,1238.0,,,,,,0.12,,200.0,,199.0,,,,456.0,2.0,,,675.0,,,,,,201.0,,,,,,,
March 2020,Uttar Dinajpur,,,,,0.0,30.0,,,8.0,,47.0,,,30.0,15.0,,9.43,,2.0,,2.0,,,,24.0,0.0,,,21.0,,,,,1.0,3.0,,,,,,,75.0
March 2021,Alipurduar,166.67,2.85,160.36,90.0,,,,,,,506.0,,,,,,,136.0,,,125.0,,,,,,,,,,,300.0,,,,,132.0,,,75.0,,
March 2021,Bankura,38.0,2.72,30.79,67.0,,,,,,,246.0,,,,,,,40.0,,,38.0,,,,,,,,,,,167.0,,,,,22.0,,,100.0,,
March 2021,Birbhum,74.55,1.91,60.94,83.0,,,,,,,395.0,,,,,,,91.0,,,82.0,,,,,,,,,,,221.0,,,,,105.0,,,110.0,,
March 2021,Cooch Behar,106.67,4.81,102.45,194.0,,,,,,,646.0,,,,,,,99.0,,,96.0,,,,,,,,,,,380.0,,,,,85.0,,,90.0,,
March 2021,Dakshin Dinajpur,74.67,3.03,110.61,45.0,,,,,,,242.0,,,,,,,60.0,,,56.0,,,,,,,,,,,147.0,,,,,56.0,,,75.0,,
March 2021,Darjeeling,80.0,2.26,72.63,72.0,,,,,,,274.0,,,,,,,88.0,,,80.0,,,,,,,,,,,145.0,,,,,80.0,,,100.0,,
March 2021,Hooghly,23.43,1.94,20.37,56.0,,,,,,,234.0,,,,,,,46.0,,,41.0,,,,,,,,,,,137.0,,,,,46.0,,,175.0,,
March 2021,Howrah,20.56,2.81,18.71,108.0,,,,,,,303.0,,,,,,,45.0,,,37.0,,,,,,,,,,,173.0,,,,,27.0,,,180.0,,
March 2021,Jalpaiguri,47.5,4.15,36.16,201.0,,,,,,,618.0,,,,,,,42.0,,,38.0,,,,,,,,,,,375.0,,,,,42.0,,,80.0,,
