district,no_of_atm_cum_debit_cards_mar_19_i_no,no_of_atm_cum_debit_cards_mar_20_i_no,no_of_atm_cum_debit_cards_mar_21_20_i_no,no_of_atm_cum_debit_cards_june_21_20_i_no,no_of_internet_banking_subscribers_mar_19_ii_no,no_of_internet_banking_subscribers_mar_20_19_ii_no,no_of_internet_banking_subscribers_mar_21_ii_no,no_of_internet_banking_subscribers_june_21_ii_no,no_of_mobile_banking_subscribers_mar_19_iii_no,no_of_mobile_banking_subscribers_mar_20_19_iii_no,no_of_mobile_banking_subscribers_mar_21_iii_no,no_of_mobile_banking_subscribers_june_21_iii_no,no_of_aeps_subscribers_mar_19_iv_no,no_of_aeps_subscribers_mar_20_19_iv_no,no_of_aeps_subscribers_mar_21_iv_no,no_of_aeps_subscribers_june_21_iv_no
Almora,2.32,4.39,5.08,5.25,0.9,1.01,1.79,1.8,0.79,1.11,2.07,2.09,3.47,4.05,4.3,4.34
Bageshwar,1.99,2.15,2.27,2.31,1.15,1.2,1.26,1.3,0.75,0.8,0.85,0.86,0.55,0.65,0.75,0.77
Chamoli,3.72,3.83,3.95,4.03,1.22,1.32,1.44,1.4,1.02,1.08,1.14,1.15,4.92,5.26,5.53,5.56
Dehradun,14.26,15.07,17.12,17.97,1.86,2.9,3.84,3.9,1.96,2.35,2.42,2.49,8.92,9.25,10.5,10.9
Haridwar,14.42,15.6,16.26,17.07,1.87,2.9,3.84,3.9,1.81,2.2,2.26,2.31,7.25,7.95,9.25,9.62
Nainital,5.95,6.53,6.55,6.81,1.8,2.16,2.86,2.9,0.85,1.01,1.46,1.49,12,12.9,14.3,14.9
Pauri Garhwal,3.96,4.05,4.15,4.27,1.42,1.5,1.72,1.7,0.98,1.21,1.32,1.34,2.77,2.82,2.9,2.95
Rudraprayag,1.89,1.96,2.23,2.28,0.09,0.13,0.16,0.2,0.25,0.32,0.4,0.4,0.65,0.75,0.91,0.93
Tehri Garhwal,4.55,4.68,4.75,4.89,1.21,1.42,1.57,1.6,0.45,0.55,0.75,0.76,3.42,3.76,4.1,4.16
Udham Singh Nagar,10.25,12.75,15.24,15.48,3.89,5.12,5.79,5.9,0.76,1.25,2.14,2.18,14.3,15.2,16.2,17
Uttarkashi,3.18,3.34,3.57,3.68,0.32,0.44,0.52,0.5,0.46,0.65,0.76,0.77,2.52,2.75,2.91,2.96
