District,Col_1,Col_2,Col_3,Col_4,Col_5
Araria,STATE,BANK,OF,INDIA,05/06/2025
Arwal,PUNJAB,NATIONAL,BANK,30/05/2025,
Aurangabad,PUNJAB,NATIONAL,BANK,24/06/2025,
Banka,UCO,BANK,19/06/2025,,
Begusarai,UCO,BANK,24/06/2025,,
Bhagalpur,UCO,BANK,27/06/2025,,
Bhojpur,PUNJAB,NATIONAL,BANK,26/06/2025,
Buxar,PUNJAB,NATIONAL,BANK,18/06/2025,
Darbhanga,CENTRAL,BANK,OF,INDIA,30/06/2025
Gaya,PUNJAB,NATIONAL,BANK,NOT,HELD
Gopalganj,CENTRAL,BANK,OF,INDIA,13/06/2025
Jamui,STATE,BANK,OF,INDIA,26/06/2025
Jehanabad,PUNJAB,NATIONAL,BANK,NOT,HELD
Kaimur (Bhabua),PUNJAB,NATIONAL,BANK,20/06/2025,
Katihar,CENTRAL,BANK,OF,INDIA,09/06/2025
Khagaria,UNION,BANK,OF,INDIA,04/06/2025
Kishanganj,STATE,BANK,OF,INDIA,26/05/2025
Lakhisarai,PUNJAB,NATIONAL,BANK,20/06/2025,
Madhepura,STATE,BANK,OF,INDIA,17/05/2025
Madhubani,CENTRAL,BANK,OF,INDIA,31/05/2025
Munger,UCO,BANK,25/04/2025,,
Muzaffarpur,CENTRAL,BANK,OF,INDIA,25/06/2025
Nalanda,PUNJAB,NATIONAL,BANK,30/06/2025,
Nawada,PUNJAB,NATIONAL,BANK,30/06/2025,
Pashchim Champaran,CENTRAL,BANK,OF,INDIA,NOT
Patna,PUNJAB,NATIONAL,BANK,19/05/2025,
Purbi Champaran,CENTRAL,BANK,OF,INDIA,18/06/2025
Purnia,STATE,BANK,OF,INDIA,12/06/2025
Rohtas,PUNJAB,NATIONAL,BANK,23/06/2025,
Saharsa,STATE,BANK,OF,INDIA,26/05/2025
Samastipur,UNION,BANK,OF,INDIA,11/07/2025
Saran,CENTRAL,BANK,OF,INDIA,14/06/2025
Sheikhpura,CANARA,BANK,14/07/2025,,
Sheohar,BANK,OF,BARODA,30/05/2025,
Sitamarhi,BANK,OF,BARODA,29/04/2025,
Siwan,CENTRAL,BANK,OF,INDIA,22/05/2025
Supaul,STATE,BANK,OF,INDIA,17/05/2025
Vaishali,CENTRAL,BANK,OF,INDIA,09/06/2025
