District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,Os No.,of which girl student Os No.,Os Amt,of which girl student Os Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,3,2,6.03,4.85,7,5,12.85,11.44,20,15,78.24,67.51
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,2,0,5.4,0
East Siang,2,3,38.61,38.61,9,5,36.73,29.44,30,17,174.26,120.22
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0,0,1,0,2.57,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,1,0,3.38,3.38
Lohit,1,1,0.4,0.4,5,2,10.45,1.5,16,10,102.3,30.95
Longding,1,1,1.87,1.87,3,1,3.13,1.84,13,8,42.2,19.88
Lower Dibang Valley,1,1,1.46,1.46,4,3,5.78,4.48,8,5,30.98,18.13
Lower Siang,0,0,0,0,2,1,0.9,0.46,8,4,24.07,9.99
Lower Subansiri,5,3,35.98,30.79,8,6,16.32,13.14,24,15,68.59,55.61
Namsai,2,0,27.5,0,7,2,8.04,4.67,16,7,61.7,22.17
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,21,12,234.13,45.91,36,22,98.23,23.58,205,97,1075,551.43
Shi Yomi,0,0,0,0,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,0,0,0,0,2,1,13.34,10.05
Tirap,0,0,0,0,1,0,0.94,0,10,5,41.55,23.64
Upper Siang,0,0,0,0,0,0,0,0,2,0,3.83,0
Upper Subansiri,0,0,0,0,1,0,1.03,0,11,6,28.84,18.85
West Kameng,0,0,0,0,1,1,3.8,2.8,16,9,59.24,34.49
West Siang,0,0,0,0,0,0,0,0,5,3,16.64,4.17
