district,sum_of_cummu_lative_any_other_reason,sum_of_cummul_ative_second_applicati_on_submitt_ed_for_same_ot_her_reasons,sum_of_cummula_tive_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_purpose_of_cattle,sum_of_cummula_tive_milch_animal_in_possesion_no_space_available_for_cattle_shed,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_not_a_member_of_pacs,sum_of_cummula_tive_tpa_not_furnished_collectio_n_account_is_in_other_bank,sum_of_cummula_tive_wrong_incomple_te_informati_on_furnished,sum_of_cummulat_ive_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the,sum_of_cummulati_ve_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_cummulati_ve_no_of_applicatio_ns_sanctioned,sum_of_pendency_more_than_15_days
Alipurduar,0.0,0.0,23.0,239.0,293.0,0.0,268.0,2327.0,2327.0,0.0,0.0,0.0,,0.0,1504.0,0.0
Bankura,0.0,0.0,0.0,1.0,5.0,0.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0
Birbhum,58.0,0.0,22.0,227.0,1438.0,0.0,427.0,3490.0,3490.0,0.0,0.0,2.0,29.0,0.0,1287.0,0.0
Dakshin Dinajpur,13.0,0.0,14.0,0.0,193.0,3.0,527.0,1229.0,,0.0,0.0,0.0,81.0,0.0,398.0,0.0
Jalpaiguri,15.0,0.0,0.0,0.0,201.0,0.0,20.0,1136.0,1136.0,485.0,0.0,28.0,0.0,0.0,387.0,0.0
Jhargram,299.0,0.0,4.0,37.0,168.0,14.0,130.0,1077.0,1077.0,2.0,3.0,0.0,32.0,1.0,387.0,0.0
Kalimpong,0.0,0.0,48.0,97.0,221.0,0.0,9.0,933.0,933.0,28.0,0.0,0.0,6.0,0.0,524.0,0.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,0.0,0.0,0.0,23.0,0.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0
Murshidabad,3.0,0.0,1.0,46.0,157.0,0.0,24.0,994.0,994.0,4.0,0.0,503.0,1.0,2.0,253.0,0.0
Nadia,31.0,5.0,10.0,560.0,1099.0,849.0,1321.0,7423.0,7423.0,137.0,0.0,514.0,820.0,236.0,1841.0,0.0
Paschim Medinipur,85.0,0.0,0.0,136.0,260.0,0.0,364.0,1495.0,,51.0,46.0,8.0,0.0,0.0,545.0,0.0
Purba Medinipur,5.0,0.0,115.0,241.0,467.0,386.0,248.0,2404.0,,0.0,0.0,0.0,77.0,0.0,865.0,0.0
Uttar Dinajpur,0.0,0.0,0.0,35.0,66.0,0.0,0.0,357.0,357.0,0.0,0.0,0.0,61.0,0.0,195.0,0.0
