district,rseti_grading_for_2022_23,residential_training_facility,issue_of_permissive_possession,building_construction_status_september_2024
Angul,AA,YES,Yes,Building construction to start
Balangir,AA,YES,YES,Completed
Balasore,AA,YES,YES,Completed
Bargarh,AA,YES,YES,Completed
Bhadrak,AA,No,YES,Completed & shifted
Boudh,AA,YES,YES,Completed
Cuttack,AA,Yes,NO,Land Not allottedfreshly identified
Deogarh,BA,YES,YES,Shifted to new Building
Dhenkanal,AA,YES,Yes,On the verge of completion
Gajapati,AA,YES,No,"Dist Authority has written to Reve & Disaster
Management Dept for waivement of feecess etc"
Ganjam,AA,YES,No,"Dist Authority has written to Reve & Disaster
Management Dept for waivement of feecess etc"
Jagatsinghpur,AA,YES,YES,Completed
Jajpur,AA,YES,YES,Completed
Jharsuguda,AA,YES,YES,Completed
Kalahandi,AA,YES,YES,Drainage Problem not shifted
Kandhamal,AA,YES,YES,Completed
Kendrapara,AA,YES,YES,Completed
Keonjhar,AA,YES,YES,Completed
Khordha,AA,YES,YES,Completed
Koraput,AA,YES,YES,Completed
Malkangiri,AA,YES,YES,Completed
Mayurbhanj,AA,YES,YES,Completed
Nabarangpur,AA,YES,YES,Completed
Nayagarh,AA,YES,YES,Completed
Nuapada,AA,YES,YES,Completed
Puri,AA,Yes,NO,Demanding RentCess etc
Rayagada,AA,YES,YES,Objected by NIRDPExtension work to be done
Sambalpur,AA,YES,YES,Completed
Subarnapur,AA,YES,YES,Completed
Sundargarh,AA,YES,YES,Completed
