District,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS Amt,of which girl student OS Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,1,1,1.72,1.72,1,1,1.72,1.72,15,8,40.28,21.3
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,1,0,7.15,0
East Siang,0,0,0,0,2,2,29.45,29.45,25,10,111.21,53.01
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0,0,1,0,1.58,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,1,1,1,4.9,0,0,0,0
Lohit,0,0,0,0,3,2,16.03,8.56,11,7,41.62,26.42
Longding,1,0,3.45,0,2,0,4.67,0,9,5,27.65,13.28
Lower Dibang Valley,0,0,0,0,0,0,0,0,3,2,13.12,7.87
Lower Siang,0,0,0,0,1,0,3.47,0,5,2,16.02,8.13
Lower Subansiri,0,0,0,0,2,1,4.86,1.89,19,11,48.17,28.65
Namsai,1,0,0.48,0,1,0,0.48,0,7,3,22.89,11.45
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,7,5,20.58,13.58,22,13,48.91,22.64,193,91,687.17,267.7
Shi Yomi,0,0,0,0,0,0,0,0,2,0,3.86,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,0,0,0,0,3,1,16.54,8.63
Tirap,2,1,2.41,0.52,2,1,2.41,0.52,9,3,24.01,10.81
Upper Siang,0,0,0,0,0,0,0,0,3,1,7.31,0.29
Upper Subansiri,0,0,0,0,2,2,5.02,5.02,14,8,44.65,30.24
West Kameng,0,0,0,0,1,0,3.01,0,14,8,58.44,40.53
West Siang,0,0,0,0,0,0,0,0,11,5,29.79,15.11
