district,total_application,sanctioned,sanction_amt,pending_for_sanction,disbursed,disbursed_amt,disbursement_pending,rejected
Bokaro,364,69,44.90,233,62,40.40,7,282
Chatra,302,137,101.50,47,118,89.00,19,153
Deoghar,5210,1538,1090.65,2361,1311,712.56,227,3479
Dhanbad,356,95,79.09,175,86,69.60,9,245
Dumka,1661,267,186.77,1140,254,159.92,13,1335
Garhwa,272,101,68.08,100,71,50.28,30,114
Giridih,827,167,120.55,532,128,89.28,39,601
Godda,483,187,110.90,130,166,96.95,21,259
Gumla,316,30,19.00,261,25,15.00,5,270
Hazaribagh,591,204,127.76,211,176,108.56,28,356
Jamtara,1291,266,167.80,786,239,144.54,27,997
Khunti,0,0,0.00,0,0,0.00,0,0
Koderma,88,15,9.20,64,9,6.00,6,58
Latehar,354,165,94.47,51,138,78.01,27,175
Lohardaga,125,50,43.00,52,23,18.50,27,62
Pakur,87,15,8.40,59,13,6.90,2,64
Palamu,639,183,125.64,311,145,99.09,38,346
Ramgarh,587,260,218.88,104,223,187.48,37,284
Ranchi,27,8,5.50,12,7,4.50,1,15
Sahibganj,218,32,18.80,165,21,12.30,11,175
Seraikela-Kharsawan,918,164,141.10,612,142,122.45,22,700
Simdega,23,10,6.50,5,8,5.50,2,12
West Singhbhum,576,195,170.45,235,146,119.10,49,363
