District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S Amt,of which girl student O/S Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,1,1,0.77,0.77,3,2,10.23,9.18,17,8,58.87,20.51
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,2,1,7.04,0.01
East Siang,2,0,20.51,0,9,5,32.63,18.8,25,10,124.95,60.22
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,1,0,1.16,0,1,0,1.16,0,1,0,1.16,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,0,0,0,0
Lohit,1,1,0.62,0.62,7,5,27.88,18,12,7,41.05,23.95
Longding,1,0,1.27,0,2,1,2.67,1.4,7,5,26.54,16.53
Lower Dibang Valley,1,0,1.61,0,1,0,1.61,0,6,2,24.85,8.52
Lower Siang,0,0,0,0,3,1,10.54,4.63,5,2,14.66,7.79
Lower Subansiri,2,1,3.05,1.14,8,5,20.09,11.52,20,11,48.97,26.79
Namsai,1,1,1.59,1.59,2,2,8.59,8.59,7,4,25.87,13.79
Pakke Kessang,0,0,0,0,0,0,0,0,1,0,0.52,0
Papum Pare,13,10,33.78,23.85,42,23,137.81,68.66,190,79,640.73,222.16
Shi Yomi,0,0,0,0,1,0,3.85,0,2,0,4.92,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,2,1,8.76,8.32,3,1,16.09,8.32
Tirap,0,0,0,0,1,1,7.01,7.01,8,3,26.2,12.29
Upper Siang,0,0,0,0,0,0,0,0,3,1,8.04,0.38
Upper Subansiri,3,3,4.42,4.42,5,4,10.87,9.01,16,10,48.97,33.84
West Kameng,2,1,20.37,19.09,5,2,32.69,22.75,13,7,56.27,39.18
West Siang,1,1,4,4,3,5,8.71,8.06,12,6,33.85,17.04
