period,district,amount,kcc_disbursement_during_01_04_2022_to_31_12_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_12_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_30_06_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_06_2025_fresh_renewal_no,kcc_outstanding_as_on_30_06_2024_no,kcc_outstanding_as_on_30_06_2025_no,kcc_outstanding_as_on_31_12_2022_no,kcc_outstanding_as_on_31_12_2023_no,of_achievement_no,target_no
December 2023,Hooghly,1626.88,,171920.0,,,,,,332767.0,43.52,395000.0
December 2023,Howrah,599.57,,51079.0,,,,,,82715.0,53.77,95000.0
December 2023,Jalpaiguri,467.26,,26787.0,,,,,,58205.0,66.97,40000.0
December 2023,Jhargram,104.26,,39736.0,,,,,,61518.0,72.25,55000.0
December 2023,Kalimpong,76.11,,1389.0,,,,,,11168.0,13.89,10000.0
December 2023,Kolkata,32.15,,364.0,,,,,,967.0,,0.0
December 2023,Malda,705.05,,115094.0,,,,,,157491.0,104.63,110000.0
December 2023,Murshidabad,1004.78,,55005.0,,,,,,163084.0,57.9,95000.0
December 2023,Nadia,2302.0,,55802.0,,,,,,242111.0,50.73,110000.0
December 2023,North 24 Parganas,1304.87,,121521.0,,,,,,485667.0,52.84,230000.0
December 2023,Paschim Bardhaman,180.93,,6485.0,,,,,,18340.0,25.94,25000.0
December 2023,Paschim Medinipur,2041.21,,206756.0,,,,,,387608.0,84.39,245000.0
December 2023,Purba Bardhaman,2299.4,,127135.0,,,,,,398483.0,45.41,280000.0
December 2023,Purba Medinipur,1444.14,,399444.0,,,,,,428977.0,53.26,750000.0
December 2023,Purulia,327.41,,30071.0,,,,,,121434.0,85.92,35000.0
December 2023,South 24 Parganas,1138.01,,125165.0,,,,,,320054.0,73.63,170000.0
December 2023,Uttar Dinajpur,647.08,,26384.0,,,,,,241991.0,47.97,55000.0
June 2024,Alipurduar,541.47,,,7290.0,,77213.0,,,,18.94,38500.0
June 2024,Bankura,846.87,,,17891.0,,198813.0,,,,9.04,198000.0
June 2024,Birbhum,928.8,,,24184.0,,253425.0,,,,10.08,240000.0
June 2024,Cooch Behar,1593.14,,,21045.0,,183911.0,,,,11.08,190000.0
June 2024,Dakshin Dinajpur,577.21,,,21444.0,,146034.0,,,,18.65,115000.0
June 2024,Darjeeling,265.13,,,4076.0,,32286.0,,,,22.03,18500.0
June 2024,Hooghly,1826.37,,,47218.0,,328892.0,,,,11.95,395000.0
June 2024,Howrah,303.32,,,12323.0,,73048.0,,,,12.97,95000.0
June 2024,Jalpaiguri,813.08,,,10252.0,,82394.0,,,,25.63,40000.0
June 2024,Jhargram,263.95,,,3670.0,,44443.0,,,,6.67,55000.0
June 2024,Kalimpong,175.17,,,17776.0,,65723.0,,,,177.76,10000.0
June 2024,Kolkata,199.62,,,614.0,,2071.0,,,,,0.0
June 2024,Malda,662.84,,,19839.0,,142045.0,,,,18.04,110000.0
June 2024,Murshidabad,1479.98,,,23822.0,,308807.0,,,,25.08,95000.0
June 2024,Nadia,1339.36,,,28557.0,,225036.0,,,,25.96,110000.0
June 2024,North 24 Parganas,1036.57,,,18245.0,,262529.0,,,,7.93,230000.0
June 2024,Paschim Bardhaman,674.66,,,17037.0,,141871.0,,,,68.15,25000.0
June 2024,Paschim Medinipur,1581.56,,,84479.0,,359880.0,,,,34.48,245000.0
June 2024,Purba Bardhaman,1623.7,,,28063.0,,274941.0,,,,10.02,280000.0
June 2024,Purba Medinipur,2333.35,,,317824.0,,656024.0,,,,42.38,750000.0
June 2024,Purulia,498.63,,,23213.0,,131066.0,,,,66.32,35000.0
June 2024,South 24 Parganas,1020.07,,,39181.0,,197035.0,,,,23.05,170000.0
June 2024,Uttar Dinajpur,518.45,,,13176.0,,147848.0,,,,23.96,55000.0
June 2025,Alipurduar,386.14,,,,6651.0,,51343.0,,,17.28,38500.0
June 2025,Bankura,926.11,,,,25029.0,,193339.0,,,12.64,198000.0
June 2025,Birbhum,990.48,,,,25834.0,,245378.0,,,10.76,240000.0
June 2025,Cooch Behar,1812.92,,,,22625.0,,193598.0,,,11.91,190000.0
June 2025,Dakshin Dinajpur,606.28,,,,24400.0,,86248.0,,,21.22,115000.0
June 2025,Darjeeling,358.71,,,,3421.0,,83221.0,,,18.49,18500.0
June 2025,Hooghly,1611.45,,,,41391.0,,326184.0,,,10.48,395000.0
June 2025,Howrah,1130.73,,,,13630.0,,136381.0,,,14.35,95000.0
June 2025,Jalpaiguri,835.44,,,,10590.0,,95930.0,,,26.48,40000.0
June 2025,Jhargram,541.58,,,,10129.0,,70098.0,,,18.42,55000.0
June 2025,Kalimpong,90.11,,,,929.0,,39716.0,,,9.29,10000.0
June 2025,Kolkata,165.47,,,,269.0,,3960.0,,,,0.0
June 2025,Malda,625.28,,,,28219.0,,98493.0,,,25.65,110000.0
June 2025,Murshidabad,1180.48,,,,31288.0,,188869.0,,,32.93,95000.0
June 2025,Nadia,1428.93,,,,29892.0,,213252.0,,,27.17,110000.0
June 2025,North 24 Parganas,1262.2,,,,37448.0,,267131.0,,,16.28,230000.0
June 2025,Paschim Bardhaman,706.62,,,,12785.0,,166211.0,,,51.14,25000.0
June 2025,Paschim Medinipur,1677.53,,,,57814.0,,352657.0,,,23.6,245000.0
June 2025,Purba Bardhaman,1525.51,,,,51211.0,,419130.0,,,18.29,280000.0
June 2025,Purba Medinipur,2280.66,,,,302081.0,,582048.0,,,40.28,750000.0
June 2025,Purulia,804.74,,,,20168.0,,139925.0,,,57.62,35000.0
June 2025,South 24 Parganas,996.0,,,,54383.0,,239988.0,,,31.99,170000.0
June 2025,Uttar Dinajpur,894.1,,,,11077.0,,158979.0,,,20.14,55000.0
