period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amnt,amount,disbursement_during_fy_during_fy_2022_23,during_fy_2021_22,during_fy_2022_23,during_fy_2023_24,during_fy_2024_25,kcc_disbursed_fresh_renewal_in_2016_17_no,kcc_disbursement_during_01_04_2019_to_30_06_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_30_09_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_03_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_12_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_30_09_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_03_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_12_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_06_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_09_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_03_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_12_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_06_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_09_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_03_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_30_06_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_03_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_03_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_12_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_09_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_31_12_2025_fresh_renewal_no,kcc_disbursement_during_fy_2018_19_no,kcc_disbursement_during_fy_2020_21,kcc_disbursement_during_fy_2021_22,kcc_outstanding_31_03_2021,kcc_outstanding_31_03_2022,kcc_outstanding_as_on_30_06_2020_no,kcc_outstanding_as_on_30_06_2021_no,kcc_outstanding_as_on_30_06_2022_no,kcc_outstanding_as_on_30_06_2023_no,kcc_outstanding_as_on_30_09_2021_no,kcc_outstanding_as_on_30_09_2022_no,kcc_outstanding_as_on_30_09_2025_no,kcc_outstanding_as_on_31_03_2017_no,kcc_outstanding_as_on_31_03_2021_no,kcc_outstanding_as_on_31_03_2022_no,kcc_outstanding_as_on_31_03_2023_no,kcc_outstanding_as_on_31_03_2024_no,kcc_outstanding_as_on_31_03_2025_no,kcc_outstanding_as_on_31_12_2020_no,kcc_outstanding_as_on_31_12_2021_no,kcc_outstanding_as_on_31_12_2024_no,kcc_outstanding_as_on_31_12_2025_no,no_of_farming_family,of_achievement_no,outstanding_as_on_31_03_2023,target_no,total_kcc_active_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_dormant_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_generated
December 2019,Paschim Medinipur,,,,,,494.17,,,,,,,,,,250051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.66,,310000.0,,,
December 2019,Purba Bardhaman,,,,,,718.9,,,,,,,,,,162363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.13,,270000.0,,,
December 2019,Purba Medinipur,,,,,,1000.88,,,,,,,,,,380308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.14,,290000.0,,,
December 2019,Purulia,,,,,,47.91,,,,,,,,,,18421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,,150000.0,,,
December 2019,South 24 Parganas,,,,,,946.45,,,,,,,,,,116252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.46,,165000.0,,,
December 2019,Uttar Dinajpur,,,,,,94.42,,,,,,,,,,18985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.26,,110000.0,,,
December 2020,Alipurduar,,,,,,256.04,,,,,,,,,,,,,20394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45534.0,,,,,50.99,,40000.0,,,
December 2020,Bankura,,,,,,549.63,,,,,,,,,,,,,91231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165223.0,,,,,39.67,,230000.0,,,
December 2020,Birbhum,,,,,,832.27,,,,,,,,,,,,,163665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250178.0,,,,,77.57,,211000.0,,,
December 2020,Cooch Behar,,,,,,486.21,,,,,,,,,,,,,85099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104248.0,,,,,42.55,,200000.0,,,
December 2020,Dakshin Dinajpur,,,,,,719.74,,,,,,,,,,,,,45225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181210.0,,,,,37.69,,120000.0,,,
December 2020,Darjeeling,,,,,,94.85,,,,,,,,,,,,,5781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18731.0,,,,,28.91,,20000.0,,,
December 2020,Hooghly,,,,,,1004.64,,,,,,,,,,,,,200884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283501.0,,,,,89.28,,225000.0,,,
December 2020,Howrah,,,,,,133.23,,,,,,,,,,,,,37719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40326.0,,,,,37.72,,100000.0,,,
December 2020,Jalpaiguri,,,,,,765.69,,,,,,,,,,,,,27284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88311.0,,,,,54.57,,50000.0,,,
December 2020,Jhargram,,,,,,295.85,,,,,,,,,,,,,21200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67805.0,,,,,28.27,,75000.0,,,
December 2020,Kalimpong,,,,,,40.91,,,,,,,,,,,,,3390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10938.0,,,,,48.43,,7000.0,,,
December 2020,Kolkata,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,
December 2020,Malda,,,,,,451.68,,,,,,,,,,,,,46538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110480.0,,,,,20.68,,225000.0,,,
December 2020,Murshidabad,,,,,,320.45,,,,,,,,,,,,,63435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71402.0,,,,,20.46,,310000.0,,,
December 2020,Nadia,,,,,,715.39,,,,,,,,,,,,,69806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159858.0,,,,,26.85,,260000.0,,,
December 2020,North 24 Parganas,,,,,,916.56,,,,,,,,,,,,,162772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278137.0,,,,,52.51,,310000.0,,,
December 2020,Paschim Bardhaman,,,,,,60.57,,,,,,,,,,,,,7822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19550.0,,,,,31.29,,25000.0,,,
December 2020,Paschim Medinipur,,,,,,1495.19,,,,,,,,,,,,,101479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348050.0,,,,,20.92,,485000.0,,,
December 2020,Purba Bardhaman,,,,,,1970.46,,,,,,,,,,,,,134643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394722.0,,,,,46.43,,290000.0,,,
December 2020,Purba Medinipur,,,,,,1608.89,,,,,,,,,,,,,497472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440532.0,,,,,67.68,,735000.0,,,
December 2020,Purulia,,,,,,335.35,,,,,,,,,,,,,23321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95599.0,,,,,20.82,,112000.0,,,
December 2020,South 24 Parganas,,,,,,3136.52,,,,,,,,,,,,,116640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613898.0,,,,,31.1,,375000.0,,,
December 2020,Uttar Dinajpur,,,,,,1011.21,,,,,,,,,,,,,40007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284312.0,,,,,20.52,,195000.0,,,
December 2021,Alipurduar,,,,,,140.85,,,,,,,,,,,,,,,,,21678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26625.0,,,,56.31,,38500.0,,,
December 2021,Bankura,,,,,,773.91,,,,,,,,,,,,,,,,,122947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167181.0,,,,62.09,,198000.0,,,
December 2021,Birbhum,,,,,,965.8,,,,,,,,,,,,,,,,,198308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227024.0,,,,82.63,,240000.0,,,
December 2021,Cooch Behar,,,,,,980.65,,,,,,,,,,,,,,,,,129606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192050.0,,,,68.21,,190000.0,,,
December 2021,Dakshin Dinajpur,,,,,,842.47,,,,,,,,,,,,,,,,,65258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199906.0,,,,56.75,,115000.0,,,
December 2021,Darjeeling,,,,,,90.18,,,,,,,,,,,,,,,,,9385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20543.0,,,,50.73,,18500.0,,,
December 2021,Hooghly,,,,,,1454.63,,,,,,,,,,,,,,,,,209791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314601.0,,,,53.11,,395000.0,,,
December 2021,Howrah,,,,,,352.06,,,,,,,,,,,,,,,,,38759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76185.0,,,,40.8,,95000.0,,,
December 2021,Jalpaiguri,,,,,,475.18,,,,,,,,,,,,,,,,,23887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93224.0,,,,59.72,,40000.0,,,
December 2021,Jhargram,,,,,,489.07,,,,,,,,,,,,,,,,,36293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110462.0,,,,65.99,,55000.0,,,
December 2021,Kalimpong,,,,,,58.83,,,,,,,,,,,,,,,,,7555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10093.0,,,,75.55,,10000.0,,,
December 2021,Kolkata,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,
December 2021,Malda,,,,,,869.13,,,,,,,,,,,,,,,,,66043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243437.0,,,,60.04,,110000.0,,,
December 2021,Murshidabad,,,,,,680.97,,,,,,,,,,,,,,,,,66293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148603.0,,,,69.78,,95000.0,,,
December 2021,Nadia,,,,,,971.71,,,,,,,,,,,,,,,,,59412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185742.0,,,,54.01,,110000.0,,,
December 2021,North 24 Parganas,,,,,,1630.09,,,,,,,,,,,,,,,,,175282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322492.0,,,,76.21,,230000.0,,,
December 2021,Paschim Bardhaman,,,,,,96.38,,,,,,,,,,,,,,,,,12351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16862.0,,,,49.4,,25000.0,,,
December 2021,Paschim Medinipur,,,,,,790.4,,,,,,,,,,,,,,,,,101722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152132.0,,,,41.52,,245000.0,,,
December 2021,Purba Bardhaman,,,,,,2982.38,,,,,,,,,,,,,,,,,133935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591499.0,,,,47.83,,280000.0,,,
December 2021,Purba Medinipur,,,,,,2873.71,,,,,,,,,,,,,,,,,461594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595520.0,,,,61.55,,750000.0,,,
December 2021,Purulia,,,,,,535.38,,,,,,,,,,,,,,,,,31316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99016.0,,,,89.47,,35000.0,,,
December 2021,South 24 Parganas,,,,,,1989.62,,,,,,,,,,,,,,,,,132016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391833.0,,,,77.66,,170000.0,,,
December 2021,Uttar Dinajpur,,,,,,1397.32,,,,,,,,,,,,,,,,,41750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315219.0,,,,75.91,,55000.0,,,
December 2022,Alipurduar,47003.0,,,,,,,24782.0,,,,,,,,,,,,,,,,,,,,,,,,,,28580.0,,45666.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Bankura,165474.0,,,,,,,151205.0,,,,,,,,,,,,,,,,,,,,,,,,,,148212.0,,168322.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Birbhum,228706.0,,,,,,,201149.0,,,,,,,,,,,,,,,,,,,,,,,,,,179452.0,,245964.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Cooch Behar,200143.0,,,,,,,158373.0,,,,,,,,,,,,,,,,,,,,,,,,,,143251.0,,193749.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Dakshin Dinajpur,110792.0,,,,,,,77537.0,,,,,,,,,,,,,,,,,,,,,,,,,,85121.0,,100122.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Darjeeling,26325.0,,,,,,,17604.0,,,,,,,,,,,,,,,,,,,,,,,,,,13504.0,,23090.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Hooghly,321789.0,,,,,,,266969.0,,,,,,,,,,,,,,,,,,,,,,,,,,290045.0,,306179.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Howrah,75783.0,,,,,,,41642.0,,,,,,,,,,,,,,,,,,,,,,,,,,70222.0,,43711.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jalpaiguri,80373.0,,,,,,,25647.0,,,,,,,,,,,,,,,,,,,,,,,,,,30801.0,,94099.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jhargram,80955.0,,,,,,,38419.0,,,,,,,,,,,,,,,,,,,,,,,,,,42840.0,,73757.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kalimpong,11031.0,,,,,,,9041.0,,,,,,,,,,,,,,,,,,,,,,,,,,8229.0,,10609.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kolkata,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Malda,126930.0,,,,,,,171364.0,,,,,,,,,,,,,,,,,,,,,,,,,,79801.0,,128983.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Murshidabad,126729.0,,,,,,,73973.0,,,,,,,,,,,,,,,,,,,,,,,,,,71458.0,,98425.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Nadia,197820.0,,,,,,,64240.0,,,,,,,,,,,,,,,,,,,,,,,,,,76225.0,,171272.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,North 24 Parganas,311387.0,,,,,,,182134.0,,,,,,,,,,,,,,,,,,,,,,,,,,170002.0,,293053.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Paschim Bardhaman,14501.0,,,,,,,14792.0,,,,,,,,,,,,,,,,,,,,,,,,,,19534.0,,23491.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Paschim Medinipur,370792.0,,,,,,,267316.0,,,,,,,,,,,,,,,,,,,,,,,,,,183846.0,,318897.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purba Bardhaman,557957.0,,,,,,,289429.0,,,,,,,,,,,,,,,,,,,,,,,,,,210211.0,,459093.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purba Medinipur,557064.0,,,,,,,560331.0,,,,,,,,,,,,,,,,,,,,,,,,,,561806.0,,513433.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purulia,108514.0,,,,,,,51254.0,,,,,,,,,,,,,,,,,,,,,,,,,,26712.0,,94289.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,South 24 Parganas,306722.0,,,,,,,143161.0,,,,,,,,,,,,,,,,,,,,,,,,,,127206.0,,294670.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Uttar Dinajpur,289343.0,,,,,,,47316.0,,,,,,,,,,,,,,,,,,,,,,,,,,41454.0,,284312.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Alipurduar,47003.0,94402.0,,,,,,24782.0,31573.0,,,,,,,,,,,,,,,,,,,,,,,,,28580.0,,45666.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Bankura,165474.0,174432.0,,,,,,151205.0,169126.0,,,,,,,,,,,,,,,,,,,,,,,,,148212.0,,168322.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Birbhum,228706.0,245080.0,,,,,,201149.0,89665.0,,,,,,,,,,,,,,,,,,,,,,,,,179452.0,,245964.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Cooch Behar,200143.0,162231.0,,,,,,158373.0,154180.0,,,,,,,,,,,,,,,,,,,,,,,,,143251.0,,193749.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Dakshin Dinajpur,110792.0,107952.0,,,,,,77537.0,84311.0,,,,,,,,,,,,,,,,,,,,,,,,,85121.0,,100122.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Darjeeling,26325.0,24510.0,,,,,,17604.0,11395.0,,,,,,,,,,,,,,,,,,,,,,,,,13504.0,,23090.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Hooghly,321789.0,329980.0,,,,,,266969.0,304544.0,,,,,,,,,,,,,,,,,,,,,,,,,290045.0,,306179.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Howrah,75783.0,86541.0,,,,,,41642.0,39460.0,,,,,,,,,,,,,,,,,,,,,,,,,70222.0,,43711.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jalpaiguri,80373.0,96900.0,,,,,,25647.0,44124.0,,,,,,,,,,,,,,,,,,,,,,,,,30801.0,,94099.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jhargram,80955.0,72664.0,,,,,,38419.0,31725.0,,,,,,,,,,,,,,,,,,,,,,,,,42840.0,,73757.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kalimpong,11031.0,8610.0,,,,,,9041.0,3183.0,,,,,,,,,,,,,,,,,,,,,,,,,8229.0,,10609.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kolkata,0.0,437.0,,,,,,0.0,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Malda,126930.0,144897.0,,,,,,171364.0,62769.0,,,,,,,,,,,,,,,,,,,,,,,,,79801.0,,128983.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Murshidabad,126729.0,162166.0,,,,,,73973.0,62385.0,,,,,,,,,,,,,,,,,,,,,,,,,71458.0,,98425.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Nadia,197820.0,214802.0,,,,,,64240.0,87548.0,,,,,,,,,,,,,,,,,,,,,,,,,76225.0,,171272.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,North 24 Parganas,311387.0,323377.0,,,,,,182134.0,154532.0,,,,,,,,,,,,,,,,,,,,,,,,,170002.0,,293053.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Bardhaman,14501.0,14714.0,,,,,,14792.0,14136.0,,,,,,,,,,,,,,,,,,,,,,,,,19534.0,,23491.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Medinipur,370792.0,380758.0,,,,,,267316.0,291083.0,,,,,,,,,,,,,,,,,,,,,,,,,183846.0,,318897.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Bardhaman,557957.0,458845.0,,,,,,289429.0,313123.0,,,,,,,,,,,,,,,,,,,,,,,,,210211.0,,459093.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Medinipur,557064.0,593003.0,,,,,,560331.0,547833.0,,,,,,,,,,,,,,,,,,,,,,,,,561806.0,,513433.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purulia,108514.0,116348.0,,,,,,51254.0,29036.0,,,,,,,,,,,,,,,,,,,,,,,,,26712.0,,94289.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,South 24 Parganas,306722.0,273008.0,,,,,,143161.0,158499.0,,,,,,,,,,,,,,,,,,,,,,,,,127206.0,,294670.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Uttar Dinajpur,289343.0,246008.0,,,,,,47316.0,43759.0,,,,,,,,,,,,,,,,,,,,,,,,,41454.0,,284312.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Alipurduar,,,,,,574.15,,,,,,,,,,,,,,,,,,,,,,,,36236.0,,,,,,,,,,,,,,,,,,,,,,,73169.0,,,94.12,,38500.0,,,
December 2024,Bankura,,,,,,938.31,,,,,,,,,,,,,,,,,,,,,,,,86163.0,,,,,,,,,,,,,,,,,,,,,,,214798.0,,,43.52,,198000.0,,,
December 2024,Birbhum,,,,,,1057.05,,,,,,,,,,,,,,,,,,,,,,,,97104.0,,,,,,,,,,,,,,,,,,,,,,,251476.0,,,40.46,,240000.0,,,
December 2024,Cooch Behar,,,,,,1768.6,,,,,,,,,,,,,,,,,,,,,,,,70207.0,,,,,,,,,,,,,,,,,,,,,,,171914.0,,,36.95,,190000.0,,,
December 2024,Dakshin Dinajpur,,,,,,580.87,,,,,,,,,,,,,,,,,,,,,,,,53997.0,,,,,,,,,,,,,,,,,,,,,,,144693.0,,,46.95,,115000.0,,,
December 2024,Darjeeling,,,,,,270.05,,,,,,,,,,,,,,,,,,,,,,,,29705.0,,,,,,,,,,,,,,,,,,,,,,,28572.0,,,160.57,,18500.0,,,
