period,district,2020_21,2021_22,2022_23,2023_24,2024_25,31_03_2023,31_03_2024,a_chievement_as_on_dec_19_disbursement_no,achievement_as_on_dec_19_sanction_no,achievement_disbursement_no,achievement_sanction_no,amount,amt,amt_in_cr,average,average_disb_rs_in_lakh,average_disburse_ment_in_lakh,average_disbursement,average_disbursement_amount,average_disbursement_amount_in_lakh,average_disbursement_amt_in_lakh,average_disbursement_in_lakh,average_ticket_size_31_03_2022,disbursed_no,disbursement_during_fy_2020_21,disbursement_during_the_fy_2019_20,disbursement_during_the_fy_2022_23,disbursement_no,disbursement_upto_dec25_no,no,nrlm_target_for_2019_20,of_achievement,of_achievement_disbursement_no,of_achievement_no,of_disbursement_against_slbc_target_no,outsanding_loans_as_on_dec_25_no,outstanding_amount,outstanding_as_on_31_03_2022,outstanding_no,pending_no,pending_shg_no,sanction_no,sanctioned_no,sanctioned_upto_dec25_no,target_2020_21_no,target_2021_22,target_2021_22_no,target_2022_23_no,target_2023_24_no,target_2024_25_no,target_for_2019_20_disbursement_no,target_for_2020_21_no,target_fy_2025_26_no,target_no,total_app_submitted,total_application_submitted,total_disbursed_no,total_disbursement,total_disbursement_no,total_outsanding_no,total_outstanding,total_outstanding_no,total_sanction_no,total_sanctioned,total_sanctioned_no
December 2020,Purba Bardhaman,,,,,,,,,,,,,54.0,,,1.67,,,,,,,,,,,,28659.0,,,,,,87.0,,,,,,,,,21360.0,,33038.0,,,,,,,,,,,,,,,,,,,,
December 2020,Purba Medinipur,,,,,,,,,,,,,62.0,,,1.52,,,,,,,,,,,,51564.0,,,,,,122.0,,,,,,,,,25357.0,,42328.0,,,,,,,,,,,,,,,,,,,,
December 2020,Purulia,,,,,,,,,,,,,31.0,,,0.76,,,,,,,,,,,,18851.0,,,,,,92.0,,,,,,,,,11170.0,,20472.0,,,,,,,,,,,,,,,,,,,,
December 2020,South 24 Parganas,,,,,,,,,,,,,44.0,,,1.09,,,,,,,,,,,,37327.0,,,,,,88.0,,,,,,,,,27140.0,,42602.0,,,,,,,,,,,,,,,,,,,,
December 2020,Uttar Dinajpur,,,,,,,,,,,,,62.0,,,1.19,,,,,,,,,,,,18347.0,,,,,,130.0,,,,,,,,,6677.0,,14110.0,,,,,,,,,,,,,,,,,,,,
December 2021,Alipurduar,,,,,,,,,,,,,59.39,,,,,,,,1.59,,,,,,,12175.0,,,,,,99.51,,,,,19716.0,,,,12773.0,,,,12235.0,,,,,,,,,,,,,,,,,,
December 2021,Bankura,,,,,,,,,,,,,49.19,,,,,,,,1.78,,,,,,,21153.0,,,,,,72.67,,,,,46718.0,,,,20996.0,,,,29110.0,,,,,,,,,,,,,,,,,,
December 2021,Birbhum,,,,,,,,,,,,,61.01,,,,,,,,2.49,,,,,,,32305.0,,,,,,63.36,,,,,56104.0,,,,43867.0,,,,50988.0,,,,,,,,,,,,,,,,,,
December 2021,Cooch Behar,,,,,,,,,,,,,58.44,,,,,,,,1.47,,,,,,,33003.0,,,,,,114.55,,,,,47206.0,,,,19329.0,,,,28810.0,,,,,,,,,,,,,,,,,,
December 2021,Dakshin Dinajpur,,,,,,,,,,,,,29.37,,,,,,,,1.12,,,,,,,10826.0,,,,,,74.16,,,,,20623.0,,,,9254.0,,,,14598.0,,,,,,,,,,,,,,,,,,
December 2021,Darjeeling,,,,,,,,,,,,,47.16,,,,,,,,1.9,,,,,,,3863.0,,,,,,98.35,,,,,5332.0,,,,2342.0,,,,3928.0,,,,,,,,,,,,,,,,,,
December 2021,Hooghly,,,,,,,,,,,,,81.67,,,,,,,,2.01,,,,,,,26044.0,,,,,,131.94,,,,,37964.0,,,,18715.0,,,,19739.0,,,,,,,,,,,,,,,,,,
December 2021,Howrah,,,,,,,,,,,,,74.8,,,,,,,,2.29,,,,,,,19990.0,,,,,,83.77,,,,,31695.0,,,,15552.0,,,,23863.0,,,,,,,,,,,,,,,,,,
December 2021,Jalpaiguri,,,,,,,,,,,,,72.02,,,,,,,,1.7,,,,,,,18979.0,,,,,,126.62,,,,,32496.0,,,,14321.0,,,,14989.0,,,,,,,,,,,,,,,,,,
December 2021,Jhargram,,,,,,,,,,,,,58.41,,,,,,,,1.66,,,,,,,8455.0,,,,,,89.95,,,,,15104.0,,,,7789.0,,,,9400.0,,,,,,,,,,,,,,,,,,
December 2021,Kalimpong,,,,,,,,,,,,,43.37,,,,,,,,1.92,,,,,,,1796.0,,,,,,95.53,,,,,2703.0,,,,974.0,,,,1880.0,,,,,,,,,,,,,,,,,,
December 2021,Kolkata,,,,,,,,,,,,,100.0,,,,,,,,1.4,,,,,,,726.0,,,,,,100.0,,,,,2476.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
December 2021,Malda,,,,,,,,,,,,,40.46,,,,,,,,1.23,,,,,,,23509.0,,,,,,83.81,,,,,49609.0,,,,18339.0,,,,28051.0,,,,,,,,,,,,,,,,,,
December 2021,Murshidabad,,,,,,,,,,,,,53.23,,,,,,,,1.37,,,,,,,30709.0,,,,,,96.32,,,,,71253.0,,,,21683.0,,,,31883.0,,,,,,,,,,,,,,,,,,
December 2021,Nadia,,,,,,,,,,,,,34.65,,,,,,,,1.36,,,,,,,18528.0,,,,,,76.59,,,,,42980.0,,,,15157.0,,,,24190.0,,,,,,,,,,,,,,,,,,
December 2021,North 24 Parganas,,,,,,,,,,,,,45.74,,,,,,,,1.32,,,,,,,31447.0,,,,,,82.72,,,,,55316.0,,,,24598.0,,,,38018.0,,,,,,,,,,,,,,,,,,
December 2021,Paschim Bardhaman,,,,,,,,,,,,,74.49,,,,,,,,2.4,,,,,,,5275.0,,,,,,63.89,,,,,8705.0,,,,5186.0,,,,8257.0,,,,,,,,,,,,,,,,,,
December 2021,Paschim Medinipur,,,,,,,,,,,,,68.92,,,,,,,,2.0,,,,,,,30145.0,,,,,,101.29,,,,,53305.0,,,,26523.0,,,,29762.0,,,,,,,,,,,,,,,,,,
December 2021,Purba Bardhaman,,,,,,,,,,,,,67.59,,,,,,,,2.72,,,,,,,25850.0,,,,,,68.38,,,,,47681.0,,,,28505.0,,,,37805.0,,,,,,,,,,,,,,,,,,
December 2021,Purba Medinipur,,,,,,,,,,,,,69.0,,,,,,,,2.46,,,,,,,37061.0,,,,,,85.54,,,,,68137.0,,,,28740.0,,,,43328.0,,,,,,,,,,,,,,,,,,
December 2021,Purulia,,,,,,,,,,,,,34.91,,,,,,,,1.3,,,,,,,12590.0,,,,,,61.5,,,,,32642.0,,,,12189.0,,,,20472.0,,,,,,,,,,,,,,,,,,
December 2021,South 24 Parganas,,,,,,,,,,,,,69.06,,,,,,,,1.62,,,,,,,37573.0,,,,,,117.81,,,,,66285.0,,,,24190.0,,,,31893.0,,,,,,,,,,,,,,,,,,
December 2021,Uttar Dinajpur,,,,,,,,,,,,,50.77,,,,,,,,1.17,,,,,,,15997.0,,,,,,114.85,,,,,32854.0,,,,9368.0,,,,13928.0,,,,,,,,,,,,,,,,,,
December 2022,Alipurduar,15591.0,14566.0,,,,,,,,,,,,,,,,,,,,,,,,12048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Bankura,42737.0,32729.0,,,,,,,,,,,,,,,,,,,,,,,,30674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Birbhum,54531.0,48236.0,,,,,,,,,,,,,,,,,,,,,,,,42443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Cooch Behar,38471.0,38990.0,,,,,,,,,,,,,,,,,,,,,,,,28722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Dakshin Dinajpur,20153.0,15772.0,,,,,,,,,,,,,,,,,,,,,,,,14133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Darjeeling,11953.0,66274.0,,,,,,,,,,,,,,,,,,,,,,,,9725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Hooghly,42873.0,32416.0,,,,,,,,,,,,,,,,,,,,,,,,24550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Howrah,34935.0,27599.0,,,,,,,,,,,,,,,,,,,,,,,,23641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jalpaiguri,28469.0,23649.0,,,,,,,,,,,,,,,,,,,,,,,,20537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jhargram,15538.0,10634.0,,,,,,,,,,,,,,,,,,,,,,,,8832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kalimpong,2101.0,2309.0,,,,,,,,,,,,,,,,,,,,,,,,1616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kolkata,0.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Malda,49660.0,35403.0,,,,,,,,,,,,,,,,,,,,,,,,31830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Murshidabad,68402.0,48466.0,,,,,,,,,,,,,,,,,,,,,,,,42817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Nadia,40868.0,28020.0,,,,,,,,,,,,,,,,,,,,,,,,24582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,North 24 Parganas,61009.0,42590.0,,,,,,,,,,,,,,,,,,,,,,,,35782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Paschim Medinipur,60176.0,38767.0,,,,,,,,,,,,,,,,,,,,,,,,32369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purba Medinipur,79753.0,50598.0,,,,,,,,,,,,,,,,,,,,,,,,43104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purulia,29318.0,17682.0,,,,,,,,,,,,,,,,,,,,,,,,18155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,South 24 Parganas,62017.0,23612.0,,,,,,,,,,,,,,,,,,,,,,,,38677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Uttar Dinajpur,29882.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,19175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Alipurduar,,14566.0,18325.0,,,,,,,,,,,,,,,,,,,,,,15591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Bankura,,32729.0,38089.0,,,,,,,,,,,,,,,,,,,,,,42737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Birbhum,,48236.0,52963.0,,,,,,,,,,,,,,,,,,,,,,54531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Cooch Behar,,38990.0,47364.0,,,,,,,,,,,,,,,,,,,,,,38471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Dakshin Dinajpur,,15772.0,20403.0,,,,,,,,,,,,,,,,,,,,,,20153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Darjeeling,,66274.0,6020.0,,,,,,,,,,,,,,,,,,,,,,11953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Hooghly,,32416.0,38016.0,,,,,,,,,,,,,,,,,,,,,,42873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Howrah,,27599.0,29231.0,,,,,,,,,,,,,,,,,,,,,,34935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jalpaiguri,,23649.0,40984.0,,,,,,,,,,,,,,,,,,,,,,28469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jhargram,,10634.0,13204.0,,,,,,,,,,,,,,,,,,,,,,15538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kalimpong,,2309.0,2753.0,,,,,,,,,,,,,,,,,,,,,,2101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kolkata,,648.0,1005.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Malda,,35403.0,46429.0,,,,,,,,,,,,,,,,,,,,,,49660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Murshidabad,,48466.0,67304.0,,,,,,,,,,,,,,,,,,,,,,68402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Nadia,,28020.0,41273.0,,,,,,,,,,,,,,,,,,,,,,40868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,North 24 Parganas,,42590.0,53514.0,,,,,,,,,,,,,,,,,,,,,,61009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Medinipur,,38767.0,48395.0,,,,,,,,,,,,,,,,,,,,,,60176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Medinipur,,50598.0,61830.0,,,,,,,,,,,,,,,,,,,,,,79753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purulia,,17682.0,25458.0,,,,,,,,,,,,,,,,,,,,,,29318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,South 24 Parganas,,23612.0,65841.0,,,,,,,,,,,,,,,,,,,,,,62017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Uttar Dinajpur,,108.0,29932.0,,,,,,,,,,,,,,,,,,,,,,29882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Alipurduar,,,,,,,,,,,,77.19,,,,,,,,2.32,,,,,,,,19026.0,,,,,,167.5,,,,,24094.0,,,10419.0,,,,,,,,11359.0,,,,,,,,,,,,,,,
December 2024,Bankura,,,,,,,,,,,,59.29,,,,,,,,2.02,,,,,,,,40671.0,,,,,,118.66,,,,,60470.0,,,22909.0,,,,,,,,34275.0,,,,,,,,,,,,,,,
December 2024,Birbhum,,,,,,,,,,,,69.93,,,,,,,,2.82,,,,,,,,48647.0,,,,,,99.69,,,,,68166.0,,,35901.0,,,,,,,,48800.0,,,,,,,,,,,,,,,
December 2024,Cooch Behar,,,,,,,,,,,,78.24,,,,,,,,2.25,,,,,,,,47157.0,,,,,,179.13,,,,,56297.0,,,24421.0,,,,,,,,26325.0,,,,,,,,,,,,,,,
December 2024,Dakshin Dinajpur,,,,,,,,,,,,59.01,,,,,,,,1.79,,,,,,,,20352.0,,,,,,125.44,,,,,27204.0,,,9835.0,,,,,,,,16225.0,,,,,,,,,,,,,,,
December 2024,Darjeeling,,,,,,,,,,,,82.71,,,,,,,,3.38,,,,,,,,6459.0,,,,,,106.95,,,,,7819.0,,,4406.0,,,,,,,,6039.0,,,,,,,,,,,,,,,
December 2024,Hooghly,,,,,,,,,,,,83.87,,,,,,,,2.44,,,,,,,,42668.0,,,,,,136.93,,,,,52343.0,,,27869.0,,,,,,,,31160.0,,,,,,,,,,,,,,,
December 2024,Howrah,,,,,,,,,,,,67.57,,,,,,,,2.67,,,,,,,,29023.0,,,,,,97.11,,,,,38486.0,,,24334.0,,,,,,,,29888.0,,,,,,,,,,,,,,,
December 2024,Jalpaiguri,,,,,,,,,,,,66.9,,,,,,,,2.23,,,,,,,,28965.0,,,,,,140.9,,,,,38187.0,,,19360.0,,,,,,,,20557.0,,,,,,,,,,,,,,,
December 2024,Jhargram,,,,,,,,,,,,62.55,,,,,,,,2.38,,,,,,,,14182.0,,,,,,105.05,,,,,19428.0,,,14514.0,,,,,,,,13500.0,,,,,,,,,,,,,,,
December 2024,Kalimpong,,,,,,,,,,,,97.95,,,,,,,,3.75,,,,,,,,2956.0,,,,,,103.18,,,,,3491.0,,,2228.0,,,,,,,,2865.0,,,,,,,,,,,,,,,
December 2024,Kolkata,,,,,,,,,,,,100.0,,,,,,,,1.57,,,,,,,,1286.0,,,,,,100.0,,,,,3378.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,
December 2024,Malda,,,,,,,,,,,,67.76,,,,,,,,1.79,,,,,,,,47209.0,,,,,,147.54,,,,,62558.0,,,33103.0,,,,,,,,31998.0,,,,,,,,,,,,,,,
December 2024,Murshidabad,,,,,,,,,,,,61.08,,,,,,,,1.78,,,,,,,,61460.0,,,,,,173.16,,,,,85655.0,,,32929.0,,,,,,,,35493.0,,,,,,,,,,,,,,,
December 2024,Nadia,,,,,,,,,,,,79.42,,,,,,,,1.96,,,,,,,,46118.0,,,,,,142.85,,,,,64415.0,,,21064.0,,,,,,,,32284.0,,,,,,,,,,,,,,,
December 2024,North 24 Parganas,,,,,,,,,,,,62.13,,,,,,,,1.86,,,,,,,,59909.0,,,,,,125.78,,,,,79641.0,,,34108.0,,,,,,,,47629.0,,,,,,,,,,,,,,,
December 2024,Paschim Bardhaman,,,,,,,,,,,,62.59,,,,,,,,2.61,,,,,,,,8372.0,,,,,,73.69,,,,,12140.0,,,5287.0,,,,,,,,11361.0,,,,,,,,,,,,,,,
December 2024,Paschim Medinipur,,,,,,,,,,,,83.04,,,,,,,,3.09,,,,,,,,50424.0,,,,,,102.27,,,,,67069.0,,,34320.0,,,,,,,,49304.0,,,,,,,,,,,,,,,
December 2024,Purba Bardhaman,,,,,,,,,,,,73.97,,,,,,,,2.9,,,,,,,,48078.0,,,,,,103.39,,,,,66252.0,,,27700.0,,,,,,,,46500.0,,,,,,,,,,,,,,,
December 2024,Purba Medinipur,,,,,,,,,,,,78.82,,,,,,,,4.22,,,,,,,,56683.0,,,,,,106.38,,,,,81556.0,,,36637.0,,,,,,,,53285.0,,,,,,,,,,,,,,,
December 2024,Purulia,,,,,,,,,,,,49.69,,,,,,,,1.4,,,,,,,,26556.0,,,,,,114.47,,,,,41574.0,,,22088.0,,,,,,,,23200.0,,,,,,,,,,,,,,,
December 2024,South 24 Parganas,,,,,,,,,,,,80.8,,,,,,,,2.31,,,,,,,,68707.0,,,,,,143.31,,,,,87526.0,,,29062.0,,,,,,,,47942.0,,,,,,,,,,,,,,,
December 2024,Uttar Dinajpur,,,,,,,,,,,,97.72,,,,,,,,2.0,,,,,,,,32953.0,,,,,,182.1,,,,,42606.0,,,15464.0,,,,,,,,18096.0,,,,,,,,,,,,,,,
