district,Amt. USSD,A/C USSD,Amt. Credit) (Debit & Cards,& Cards A/C Credit) (Debit,IMPS Amt.,A/C IMPS,Code Bharat Amt. QR,Code Bharat A/C QR,haar BHIM Amt. Aad-,A/C BHIM Aadhaar,Amt. BHIM/UPI,A/c BHIM/UPI
East Garo Hills,1363.01,155009,1922.15,46968,693879.03,3126189,68.96,328,27985.37,1786480,8614.34,202429
East Jaintia Hills,1960.5,159608,7187.62,168297,3763010.51,11525160,173.31,1121,36034.52,1677406,44307.09,1252340
East Khasi Hills,43547.61,4993566,110645.3,2875593,13632817.09,49668452,799.82,5596,320235.41,16680335,282021.73,8213099
North Garo Hills,1577.43,158139,1033.1,26792,222.3,1283,0,0,35906.74,2168554,715.96,72778
Ri Bhoi,8012.17,909830,12181.85,328729,2455512.71,6905132,167.66,1727,84775.74,4362826,48171.25,1503351
South Garo Hills,740.63,72722,548.82,13274,87.75,1215,0,0,22281.83,1301417,538.03,33971
South West Garo Hills,1311.65,122911,1034.98,25426,516976.88,2204007,0.02,2,30775.78,1878893,19345.41,407740
South West Khasi Hills,615.51,60673,2502.28,60823,4099.2,29394,6.27,106,6344.19,385211,716.1,42907
West Garo Hills,8230.23,882556,9752.9,225142,2124194.1,7712162,231.69,1198,183316.35,9321898,32130.15,945434
West Jaintia Hills,3404.62,387942,12897.49,307756,1824412.1,7360002,26.78,265,35145.08,2095211,22896.86,831805
West Khasi Hills,1410.9,126826,5927.28,147742,546215.07,2909529,0.08,4,13797.11,756923,10093.91,396478
