District,BHIM/UPI No.,Amt.,BHIM Aadhaar No.,Amt.,Bharat QR Code No.,Amt.,IMPS No.,Amt.,Cards (Debit & Credit) No.,Amt.,USSD No.,Amt.
Araria,138043485,25345.41,61089,24.33,22744,24.28,1116369,61218.13,1247629,605.15,60201,22.75
Arwal,24970698,5755.08,120902,531.84,22669,6.31,318676,6113.10,330253,172.56,61625,14.59
Aurangabad,104185418,22129.80,329293,1528.65,39272,19.08,1177321,31791.22,1307721,715.97,166092,51.49
Banka,67272962,10576.23,111874,436.39,4000,6.50,1301709,8849.60,634283,306.45,74660,23.80
Begusarai,169246248,88560.76,270738,1315.37,169559,31.43,3206579,30727.40,2035387,920.42,289987,83.17
Bhagalpur,171738580,38018.18,147435,451.23,168722,55.43,3490351,57363.12,2370007,1126.70,357809,127.34
Bhojpur,118488250,27289.76,581424,3294.65,24515,27.38,1755515,50592.21,1751883,907.22,534087,147.36
Buxar,73139782,16229.46,298711,1166.42,20345,13.23,728303,24769.67,1127049,565.50,223141,58.31
Darbhanga,182610562,91889.26,27747,12.29,130520,25.51,2744954,42258.38,2119066,1070.26,243604,91.40
Gaya,191433053,130695.83,522922,2331.77,184761,93.94,2520982,61184.34,2714250,1363.85,408033,125.65
Gopalganj,137664393,114362.67,16797,6.98,14482,19.57,1240489,30788.26,1371965,720.96,212132,59.94
Jamui,74129294,13884.42,262150,888.39,28662,9.51,566092,10108.32,635750,321.80,80702,33.17
Jehanabad,47330806,10177.95,163165,758.57,20995,8.14,794942,9829.66,591860,296.59,125040,34.79
Kaimur (Bhabua),61250853,13231.27,266448,1321.82,67572,15.26,625572,24515.73,736565,334.27,94437,29.01
Katihar,127575939,73041.84,10508,4.2,20202,15.65,869379,47289.33,889280,581.07,377464,74.44
Khagaria,73992698,14120.07,283133,999,38461,11.56,592532,20693.14,686696,298.52,96534,27.41
Kishanganj,95207546,19165.18,38001,16.18,14297,18.55,617614,15859.24,774418,390.8,48889,19.73
Lakhisarai,39466059,8148.92,173731,715.96,8500,5.34,354540,6907.18,353819,197.26,84947,24.08
Madhepura,88063425,16865.06,12954,5.24,42679,12.35,549525,22017.07,426226,216.02,79603,30.56
Madhubani,167489302,116442.12,21779,10,84864,17.97,1673676,21913.82,1558865,754.6,206401,59.14
Munger,69874022,12825.36,167651,535.93,28011,11.41,671511,12049.55,988830,454.25,211426,62.34
Muzaffarpur,315786495,236324.67,33410,13.36,161818,65.92,4792640,90821.8,4720332,2114.79,673937,201.31
Nalanda,111499739,27715.23,545046,2467.23,45142,23.41,1582629,31457.6,1919657,1008.99,191482,65.03
Nawada,65831516,16317.97,471321,1975.97,10616,10.5,808346,15705.65,825683,452.5,104924,32.98
Pashchim Champaran,217284720,38041.06,28516,10.73,51366,32.11,1194038,55591.52,1746584,888.36,177058,57.76
Patna,616285104,783527.16,210005,1371.32,324954,228.51,12553395,348335.75,15899937,7718.67,2313686,806.05
Purbi Champaran,262216270,48398.21,31788,13.1,51053,30.21,1439732,52556.94,1841449,994.94,261648,88.95
Purnia,174453405,32420.93,16711,6.89,33927,18.64,2138828,62389.73,1566226,802.9,156922,62.59
Rohtas,131720405,30200.19,464908,1940.74,46013,23.02,1180418,50925.44,1767419,883.49,247961,67.04
Saharsa,81538392,14303.05,16521,6.99,26791,9.21,465386,18325.64,453773,214.07,97986,34.66
Samastipur,215043273,116241.93,450740,1722.5,474076,31.2,2551234,28980.57,2436138,1191.01,238460,71.32
Saran,193999962,86126.73,25285,8.44,52476,34,1662816,47045.09,1790035,880.05,475133,129.65
Sheikhpura,28011549,6782.23,72084,242.27,49200,11.5,215372,15124.74,496849,250.39,38482,11.58
Sheohar,28818400,5735.55,36679,12.22,24980,7.16,227800,13577.56,428215,181.9,13743,4.86
Sitamarhi,142989988,25360.67,98158,36.07,384028,20.51,1105071,19717.51,1794682,735,113892,36.2
Siwan,198853260,38651.58,19168,7.43,39710,30.72,5411135,55745.5,2373680,1243.61,214765,62.63
Supaul,88183760,16726.19,15612,6.88,9425,6.53,641265,21216.2,470520,254.47,66210,22.36
Vaishali,177233760,80928.22,13672,5.89,69511,50.66,4850470,73074.88,2178546,1145.73,317869,94.16
