District,cumulative_as_on_31_03_2025_received,accepted,sanctioned,rejected,during_fy_2024_25_received,pendency_15_days
Adilabad,154.0,154.0,14.0,140.0,0.0,0.0
Bhadradri Kothagudem,289.0,289.0,75.0,214.0,0.0,0.0
Hanumakonda,99.0,99.0,86.0,13.0,0.0,0.0
Jagitial,144.0,144.0,96.0,48.0,0.0,0.0
Jangoan,265.0,253.0,182.0,71.0,0.0,0.0
Jogulamba Gadwal,698.0,698.0,685.0,13.0,0.0,0.0
Kamareddy,221.0,221.0,56.0,165.0,0.0,0.0
Karimnagar,300.0,300.0,259.0,41.0,198.0,0.0
Khammam,800.0,800.0,279.0,521.0,0.0,0.0
Kumuram Bheem Asifabad,259.0,259.0,14.0,245.0,0.0,0.0
Mahabubabad,1327.0,1327.0,157.0,582.0,1136.0,588.0
Mahabubnagar,151.0,151.0,27.0,124.0,0.0,0.0
Mancherial,447.0,443.0,181.0,262.0,0.0,0.0
Medak,443.0,443.0,38.0,51.0,443.0,354.0
Medchal Malkajgiri,226.0,226.0,56.0,170.0,0.0,0.0
Nagarkurnool,950.0,950.0,10.0,940.0,0.0,0.0
Narayanpet,123.0,123.0,43.0,80.0,0.0,0.0
Nizamabad,1871.0,1871.0,505.0,1363.0,272.0,3.0
Peddapalli,309.0,309.0,289.0,20.0,243.0,0.0
Rajanna Sircilla,96.0,96.0,18.0,78.0,0.0,0.0
Sangareddy,777.0,777.0,284.0,493.0,0.0,0.0
Siddipet,144.0,144.0,144.0,0.0,0.0,0.0
Suryapet,405.0,405.0,252.0,153.0,0.0,0.0
Vikarabad,244.0,244.0,244.0,0.0,0.0,0.0
Wanaparthy,401.0,401.0,388.0,13.0,0.0,0.0
Warangal,2397.0,2397.0,1245.0,1152.0,0.0,0.0
Yadadri Bhuvanagiri,665.0,665.0,203.0,462.0,199.0,0.0
