district,sanction_target_fy_2025_26,application_sponsored,loan_sanctioned,achivement_sanction_pct,loan_disbursed,rejected,cumulative_sanction,cumulative_pending
Angul,90,61,42,46.67,36,10,94,21
Balangir,91,56,23,25.27,12,3,84,34
Balasore,170,179,51,30.00,31,59,172,120
Bargarh,135,101,35,25.93,24,33,118,45
Bhadrak,142,124,32,22.54,23,37,101,78
Boudh,50,41,5,10.00,4,14,13,29
Cuttack,206,282,73,35.44,47,111,274,177
Deogarh,40,15,4,10.00,1,2,13,11
Dhenkanal,90,63,11,12.22,10,19,64,61
Gajapati,42,46,25,59.52,22,22,58,26
Ganjam,237,367,152,64.14,128,156,629,185
Jharsuguda,50,37,11,22.00,6,11,35,26
Kalahandi,50,33,9,18.00,6,8,34,26
Kandhamal,40,12,6,15.00,5,5,17,6
Kendrapara,102,72,19,18.63,13,29,73,40
Keonjhar,50,62,14,28.00,11,10,31,42
Khordha,223,431,155,69.51,80,127,313,235
Koraput,105,100,34,32.38,20,17,87,65
Malkangiri,50,27,9,18.00,6,13,28,18
Mayurbhanj,108,68,24,22.22,16,34,56,47
Nabarangpur,50,17,3,6.00,2,6,21,18
Nayagarh,80,61,23,28.75,10,19,120,39
Nuapada,50,12,4,8.00,3,5,12,7
Puri,218,372,98,44.95,51,199,343,184
Rayagada,125,35,16,12.80,26,23,60,24
Sambalpur,72,52,14,19.44,7,24,37,38
Subarnapur,69,45,21,30.43,8,7,62,24
Sundargarh,100,56,8,8.00,4,17,33,39
