district,submitted,approved,pending,rejected,sanctioned,disbursed,total_sanctioned_loan_amount,total_disbursed_loan_amount
Bokaro,226,68,130,28,62,4,578.62,12.27
Chatra,33,4,17,12,4,1,14.45,0.46
Deoghar,53,20,30,3,19,2,182.04,7.64
Dhanbad,184,45,109,30,33,10,322.51,31.96
Dumka,16,2,14,0,2,0,15.00,0.00
East Singhbhum,458,199,232,27,169,16,1595.09,28.50
Garhwa,29,9,17,3,7,0,61.17,0.00
Giridih,104,38,55,11,34,1,209.76,0.45
Godda,22,3,15,4,3,2,29.07,3.09
Gumla,7,3,4,0,3,0,26.12,0.00
Hazaribagh,137,47,56,34,44,2,346.60,2.93
Jamtara,10,3,4,3,1,0,10.62,0.00
Khunti,14,8,4,2,5,2,52.63,3.01
Koderma,51,19,22,10,14,1,113.38,1.00
Latehar,13,2,5,6,1,0,5.60,0.00
Lohardaga,13,5,4,4,5,0,63.84,0.00
Pakur,3,0,2,1,0,0,0.00,0.00
Palamu,104,41,36,27,35,12,296.84,15.75
Ramgarh,45,18,15,12,13,1,120.53,3.75
Ranchi,498,253,186,59,217,68,2301.24,159.43
Sahibganj,13,1,9,3,1,0,12.03,0.00
Seraikela-Kharsawan,80,30,39,11,24,6,196.73,11.45
Simdega,7,2,4,1,2,1,23.85,2.83
West Singhbhum,41,15,23,3,15,0,143.35,0.00
