district,total_application,sanctioned,sanction_amt,pending_for_sanction,disbursed,disbursed_amt,disbursement_pending,rejected
Bokaro,376,90,59.70,12,86,57.20,4,274
Chatra,304,166,127.80,15,139,106.80,27,123
Deoghar,5347,1944,1306.24,166,1784,982.94,160,3237
Dhanbad,359,101,83.49,6,91,73.90,10,252
Dumka,1724,333,228.99,57,301,191.55,32,1334
Garhwa,297,133,90.47,21,106,73.18,27,143
Giridih,847,187,139.25,24,148,104.08,39,636
Godda,485,244,141.40,9,226,129.45,18,232
Gumla,339,33,21.50,25,30,18.74,3,281
Hazaribagh,613,240,155.66,31,208,134.26,32,342
Jamtara,1304,318,196.40,10,284,169.39,34,976
Khunti,0,0,0.00,0,0,0.00,0,0
Koderma,86,18,12.35,1,16,11.25,2,67
Latehar,356,179,102.87,6,152,85.91,27,171
Lohardaga,126,52,45.00,9,24,20.00,28,65
Pakur,86,15,8.40,1,15,7.90,0,70
Palamu,741,271,193.26,58,237,168.26,34,412
Ramgarh,629,273,231.88,36,245,208.48,28,320
Ranchi,44,19,12.50,4,17,11.00,2,21
Sahibganj,221,33,19.80,6,31,17.80,2,182
Seraikela-Kharsawan,930,184,159.30,22,163,142.15,21,724
Simdega,24,10,6.50,2,8,5.50,2,12
West Singhbhum,582,204,176.95,8,164,133.40,40,370
