district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_4,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_342,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_258,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_37,sl_no_1
Alipurduar,46.0,,1133.0,,49.0,32.0,746.0,,198.0,,
Bankura,112.0,4.0,1124.0,167.0,263.0,81.0,832.0,116.0,167.0,26.0,8.0
Birbhum,36.0,,744.0,,210.0,55.0,482.0,,138.0,,14.0
Cooch Behar,238.0,12.0,8166.0,712.0,141.0,132.0,5317.0,588.0,1318.0,104.0,36.0
Dakshin Dinajpur,74.0,5.0,1013.0,171.0,79.0,52.0,842.0,104.0,106.0,39.0,6.0
Darjeeling,82.0,12.0,2544.0,684.0,70.0,22.0,1487.0,522.0,567.0,104.0,22.0
Hooghly,108.0,11.0,6743.0,238.0,198.0,201.0,2867.0,171.0,1867.0,66.0,12.0
Howrah,118.0,7.0,4687.0,551.0,192.0,132.0,2286.0,318.0,1011.0,183.0,10.0
Jalpaiguri,32.0,21.0,1882.0,2246.0,23.0,24.0,1002.0,1678.0,411.0,436.0,20.0
Malda,46.0,4.0,1623.0,137.0,178.0,61.0,1088.0,108.0,241.0,16.0,31.0
Murshidabad,531.0,11.0,14162.0,497.0,254.0,206.0,10502.0,314.0,1864.0,112.0,39.0
Nadia,86.0,8.0,1674.0,143.0,204.0,87.0,812.0,89.0,536.0,41.0,9.0
Paschim Medinipur,116.0,,10974.0,,319.0,280.0,7117.0,,1821.0,,
Purba Bardhaman,106.0,4.0,9034.0,640.0,349.0,108.0,5274.0,516.0,1784.0,114.0,13.0
Purba Medinipur,134.0,,15746.0,,291.0,58.0,10134.0,,2284.0,,
Purulia,107.0,,4228.0,,121.0,76.0,2435.0,,846.0,,24.0
Uttar Dinajpur,43.0,5.0,882.0,224.0,93.0,48.0,612.0,164.0,186.0,34.0,4.0
