district,sum_of_cummul_ative_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummul_ative_any_other_reason,sum_of_cummul_ative_applica_nt_in_default_npa,sum_of_cummul_ative_applicat_ion_for_purpose_of_cattle,sum_of_cummul_ative_no_of_applicat_ions_sanctio_ned,sum_of_cummul_ative_no_of_applicati_ons_received,sum_of_cummul_ative_not_a_member_of_pacs,sum_of_cummul_ative_second_applicati_on_submitt_ed_for_same_ot_her_reasons,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummula_tive_wrong_incomple_te_informati_on_furnished,sum_of_cummulat_ive_milch_animal_in_possesion_no_space_available_for_cattle_shed,sum_of_cummulat_ive_no_of_applicatio_ns_accepted,sum_of_cummulativ_e_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission,sum_of_cummulativ_e_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_pendency_more_than_15_days
Alipurduar,23.0,0.0,293.0,0.0,1504.0,2327.0,0.0,0.0,239.0,0.0,0.0,268.0,2327.0,0.0,0.0,0.0
Bankura,0.0,0.0,5.0,0.0,165.0,171.0,0.0,0.0,1.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0
Birbhum,70.0,70.0,1586.0,0.0,1618.0,4137.0,0.0,0.0,250.0,0.0,2.0,488.0,4137.0,53.0,0.0,0.0
Dakshin Dinajpur,14.0,13.0,193.0,3.0,398.0,1229.0,0.0,0.0,0.0,0.0,0.0,527.0,1229.0,81.0,0.0,0.0
Jalpaiguri,0.0,15.0,201.0,0.0,387.0,1136.0,485.0,0.0,0.0,0.0,28.0,20.0,1136.0,0.0,0.0,0.0
Jhargram,4.0,299.0,176.0,14.0,477.0,1181.0,2.0,0.0,37.0,3.0,0.0,130.0,1181.0,38.0,1.0,0.0
Kalimpong,48.0,0.0,232.0,7.0,578.0,1006.0,28.0,0.0,97.0,0.0,0.0,9.0,1006.0,6.0,0.0,1.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,0.0,23.0,0.0,82.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0
Murshidabad,1.0,3.0,157.0,0.0,253.0,994.0,4.0,0.0,46.0,0.0,503.0,24.0,994.0,1.0,2.0,0.0
Nadia,10.0,37.0,1111.0,849.0,1864.0,7470.0,137.0,5.0,560.0,0.0,519.0,1322.0,7470.0,820.0,236.0,0.0
Paschim Medinipur,0.0,85.0,351.0,0.0,1082.0,2134.0,51.0,0.0,136.0,46.0,8.0,375.0,2134.0,0.0,0.0,0.0
Purba Medinipur,115.0,5.0,467.0,386.0,865.0,2404.0,0.0,0.0,241.0,0.0,0.0,248.0,2404.0,77.0,0.0,0.0
Uttar Dinajpur,0.0,0.0,66.0,0.0,195.0,357.0,0.0,0.0,35.0,0.0,0.0,0.0,357.0,61.0,0.0,0.0
