district,disbursed_by_bank,disbursement_pending,out_of_a_sanctioned_by_bank,pending_at_bank_level_verified_by_pmu_stcb,rejected,total_application_submitted_to
Alipurduar,43.0,5.0,48.0,0.0,84.0,132.0
Bankura,289.0,22.0,311.0,29.0,256.0,596.0
Birbhum,147.0,29.0,176.0,23.0,161.0,360.0
Cooch Behar,69.0,12.0,81.0,6.0,210.0,297.0
Dakshin Dinajpur,23.0,3.0,26.0,4.0,64.0,94.0
Darjeeling,28.0,11.0,39.0,1.0,113.0,153.0
Hooghly,372.0,72.0,444.0,16.0,131.0,591.0
Howrah,48.0,7.0,55.0,13.0,45.0,113.0
Jalpaiguri,39.0,8.0,47.0,5.0,113.0,165.0
Jhargram,28.0,14.0,42.0,1.0,63.0,106.0
Kalimpong,6.0,0.0,6.0,0.0,6.0,12.0
Kolkata,14.0,6.0,20.0,1.0,7.0,28.0
Malda,87.0,16.0,103.0,10.0,282.0,395.0
Murshidabad,154.0,41.0,195.0,8.0,671.0,874.0
Nadia,40.0,9.0,49.0,8.0,183.0,240.0
North 24 Parganas,81.0,22.0,103.0,5.0,348.0,456.0
Paschim Bardhaman,149.0,5.0,154.0,5.0,16.0,175.0
Paschim Medinipur,274.0,85.0,359.0,11.0,206.0,576.0
Purba Bardhaman,512.0,65.0,577.0,29.0,229.0,835.0
Purba Medinipur,100.0,26.0,126.0,26.0,268.0,420.0
Purulia,44.0,5.0,49.0,4.0,97.0,150.0
South 24 Parganas,58.0,17.0,75.0,6.0,148.0,229.0
Uttar Dinajpur,45.0,9.0,54.0,14.0,103.0,171.0
