District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S Amt,of which girl student O/S Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,4,4,5.67,5.67,4,4,6.23,6.23,17,11,42.74,25.25
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,1,0,6.83,0
East Siang,2,1,4.15,3.65,6,3,15.16,10.45,26,11,112.76,55.21
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0,0,1,0,1.59,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,1,1,1,4.83,0,0,0,0
Lohit,1,0,2.68,0,2,0,8.65,0,12,7,47.74,26.47
Longding,1,0,4.38,0,1,0,4.38,0,9,5,28.03,12.48
Lower Dibang Valley,1,1,2.84,2.84,1,1,2.84,2.84,4,3,15.67,10.42
Lower Siang,1,0,0.39,0,2,0,4.94,0,6,2,17.46,8.3
Lower Subansiri,0,0,0,0,2,1,2.45,1.89,16,9,43.12,23.85
Namsai,3,1,4.18,1.71,3,1,4.18,1.71,9,4,23.97,12.91
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,20,11,176.16,51.83,30,15,105.32,43.69,199,91,732.86,270.53
Shi Yomi,0,0,0,0,0,0,0,0,1,0,3.48,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,0,0,0,0,3,1,16.65,8.8
Tirap,3,2,10.75,7.92,2,1,10.33,7.5,10,4,31.29,18.06
Upper Siang,0,0,0,0,0,0,0,0,2,0,6.6,0
Upper Subansiri,0,0,0,0,0,0,0,0,12,7,33.62,24.25
West Kameng,0,0,0,0,1,0,6.31,0,13,7,59.92,39.46
West Siang,0,0,0,0,1,0,5.74,0,9,4,23.75,8.02
