District,cumulative_as_on_30_01_2026_received,accepted,sanctioned,rejected,during_fy_2025_26_received,pendency_15_days
Adilabad,154.0,154.0,14.0,140.0,0.0,0.0
Bhadradri Kothagudem,374.0,374.0,95.0,279.0,85.0,0.0
Hanumakonda,681.0,681.0,394.0,287.0,0.0,0.0
Jagitial,764.0,764.0,492.0,107.0,620.0,165.0
Jangoan,265.0,253.0,182.0,71.0,0.0,0.0
Jogulamba Gadwal,698.0,698.0,685.0,13.0,0.0,0.0
Kamareddy,221.0,221.0,56.0,165.0,0.0,0.0
Karimnagar,709.0,709.0,584.0,125.0,409.0,0.0
Khammam,800.0,800.0,279.0,521.0,0.0,0.0
Kumuram Bheem Asifabad,259.0,259.0,14.0,245.0,0.0,0.0
Mahabubabad,1327.0,1327.0,168.0,1159.0,0.0,0.0
Mahabubnagar,151.0,151.0,27.0,124.0,0.0,0.0
Mancherial,451.0,447.0,181.0,262.0,4.0,4.0
Medak,675.0,675.0,17.0,643.0,659.0,15.0
Medchal Malkajgiri,226.0,226.0,56.0,170.0,0.0,0.0
Nagarkurnool,950.0,950.0,10.0,940.0,0.0,0.0
Narayanpet,123.0,123.0,43.0,80.0,0.0,0.0
Nirmal,459.0,459.0,0.0,0.0,459.0,0.0
Nizamabad,343.0,343.0,31.0,10.0,343.0,302.0
Peddapalli,264.0,264.0,240.0,24.0,264.0,0.0
Sangareddy,823.0,823.0,284.0,539.0,46.0,0.0
Siddipet,144.0,144.0,144.0,0.0,0.0,0.0
Suryapet,405.0,405.0,252.0,153.0,0.0,0.0
Vikarabad,244.0,244.0,244.0,0.0,0.0,0.0
Wanaparthy,414.0,414.0,37.0,49.0,373.0,282.0
Warangal,2397.0,2397.0,1245.0,1152.0,0.0,0.0
Yadadri Bhuvanagiri,671.0,671.0,209.0,462.0,6.0,0.0
