District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S Amt,of which girl student O/S Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,0,0,0,0,3,3,5.51,5.51,17,13,70.62,61.1
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,2,0,5.78,0
East Siang,1,1,38.36,38.36,5,2,21.6,17.63,27,14,143.16,91.15
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0,0,1,0,2.51,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,1,0,3.59,3.59
Lohit,1,1,30,30,4,2,22.96,16.1,16,10,113.63,45.85
Longding,0,0,0,0,1,0,0.6,0,12,7,39.59,18.19
Lower Dibang Valley,0,0,0,0,2,1,2.58,1.93,7,4,31.48,18.06
Lower Siang,0,0,0,0,0,0,0,0,8,3,23.71,8.01
Lower Subansiri,2,1,20.22,19.02,4,3,8.04,5.84,22,13,61.88,45.45
Namsai,0,0,0,0,4,2,5.93,1.72,14,7,39.45,21.93
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,10,4,163.59,23.97,15,7,86.14,9.55,198,94,1012.45,543.44
Shi Yomi,0,0,0,0,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,0,0,0,0,2,1,13.49,10.06
Tirap,0,0,0,0,0,0,0,0,10,5,41.64,23.79
Upper Siang,1,1,40,40,1,1,13.3,13.3,3,1,17.51,13.3
Upper Subansiri,1,1,5.11,5.11,1,1,3.56,2.56,12,7,32.53,22.34
West Kameng,0,0,0,0,1,1,3.8,2.8,17,9,64.86,36.61
West Siang,0,0,0,0,0,0,0,0,6,4,26.58,14.31
