district,total_application,sanctioned,sanction_amt,pending_for_sanction,disbursed,disbursed_amt,disbursement_pending,rejected
Bokaro,246,21,14.40,164,19,13.00,2,61
Chatra,57,15,8.50,20,8,5.00,7,22
Deoghar,1637,374,269.87,203,304,168.48,70,1060
Dhanbad,193,32,27.85,64,26,22.65,6,97
Dumka,806,92,64.86,85,82,51.56,10,629
Garhwa,86,11,7.50,74,8,5.00,3,1
Giridih,383,51,35.19,135,35,24.70,16,197
Godda,191,53,33.00,31,52,32.00,1,107
Gumla,263,16,9.00,101,16,9.00,0,146
Hazaribagh,279,43,25.00,166,37,22.00,6,70
Jamtara,504,85,55.33,38,76,48.68,9,381
Khunti,0,0,0.00,0,0,0.00,0,0
Koderma,29,5,3.00,20,1,0.50,4,4
Latehar,4,0,0.00,4,0,0.00,0,0
Lohardaga,15,0,0.00,15,0,0.00,0,0
Pakur,7,0,0.00,2,0,0.00,0,5
Palamu,15,0,0.00,13,0,0.00,0,2
Ramgarh,484,156,126.79,137,131,107.39,25,191
Ranchi,18,0,0.00,15,0,0.00,0,3
Sahibganj,142,3,1.50,41,0,0.00,3,98
Seraikela-Kharsawan,492,61,51.46,187,53,43.41,8,244
Simdega,16,0,0.00,14,0,0.00,0,2
West Singhbhum,149,63,54.85,16,49,39.73,14,70
