district,Amt. USSD,A/C USSD,Amt. Credit) (Debit & Cards,& Cards A/C Credit) (Debit,IMPS Amt.,A/C IMPS,Code Bharat Amt. QR,Code Bharat A/C QR,haar BHIM Amt. Aad-,A/C BHIM Aadhaar,Amt. BHIM/UPI,A/c BHIM/UPI
East Garo Hills,1090.06,97943,1443.64,34446,692999.48,3119104,75.48,319,20328.38,1270866,6339.51,141410
East Jaintia Hills,1509.05,102353,5023.09,118864,3832176.65,11515771,158.84,932,24849.25,1189802,29305.04,857314
East Khasi Hills,33337.03,3044841,755717.16,2145331,13951465.79,49555461,34542.55,4814,229489.21,11783120,205111.71,4433630
North Garo Hills,1267.95,99951,758.11,19506,154.08,980,0,0,26415.17,1562280,489.25,48668
Ri Bhoi,6213.52,549109,7833.1,218878,2472787.15,6892746,124.67,1432,60038.46,3052848,32813.06,1032106
South Garo Hills,567.83,48222,425.04,10116,61.88,899,0,0,15995.85,925354,368.15,23127
South West Garo Hills,1062.7,77679,731.71,17699,513470.47,2189432,0.02,2,21624.03,1322456,11211.58,253747
South West Khasi Hills,456.15,40018,1615.34,39859,3968.83,28651,8,95,4461.08,269615,482.33,29006
West Garo Hills,6496.41,560252,7236.37,163653,2054302.27,7697985,5345.64,1046,129901.7,6589271,23365.78,682240
West Jaintia Hills,2615.15,255150,9657.9,230192,1893999.4,7358923,17.85,237,24522.51,1473617,15482.73,553726
West Khasi Hills,1065.23,83209,3849.16,97388,673780.16,2911176,0.08,4,9757.24,540765,7103.25,281072
