district,period,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Agar Malwa,December 2016,176.93,100500,56800
Alirajpur,December 2016,46.36,42200,91000
Anuppur,December 2016,236.09,584700,247700
Ashoknagar,December 2016,95.47,134500,140900
Balaghat,December 2016,51.41,154800,301100
Barwani,December 2016,111.3,162400,145900
Betul,December 2016,49.41,214600,434400
Bhind,December 2016,49.65,140300,282600
Bhopal,December 2016,68.69,4102400,5972100
Burhanpur,December 2016,87.9,190000,216200
Chhatarpur,December 2016,44.34,190500,429600
Chhindwara,December 2016,54.94,362200,659300
Damoh,December 2016,57.99,136700,235800
Datia,December 2016,78.38,122400,156200
Dewas,December 2016,97.31,363200,373300
Dhar,December 2016,92.24,483000,523600
Dindori,December 2016,40.72,31500,77400
East Nimar,December 2016,110.77,305400,275700
Guna,December 2016,85.19,214800,252100
Gwalior,December 2016,40.82,623200,1526500
Harda,December 2016,149.65,204000,136300
Indore,December 2016,107.9,4552200,4218800
Jabalpur,December 2016,42.31,814800,1925700
Jhabua,December 2016,85.61,126800,148100
Katni,December 2016,55.81,200700,359500
Khargone,December 2016,76.9,371900,483600
Mandla,December 2016,47.09,107600,228500
Mandsaur,December 2016,85.21,255500,299800
Morena,December 2016,68.35,209300,306200
Narmadapuram,December 2016,101.45,493400,486400
Narsinghpur,December 2016,98.25,217700,221500
Neemuch,December 2016,76.84,185200,240900
Panna,December 2016,44.28,78700,177700
Raisen,December 2016,156.44,374100,239100
Rajgarh,December 2016,132.25,296500,224200
Ratlam,December 2016,71.68,328600,458400
Rewa,December 2016,53.72,398500,741800
Sagar,December 2016,45.04,357500,793800
Satna,December 2016,44.72,284300,635800
Sehore,December 2016,141.42,360200,254700
Seoni,December 2016,64.9,162000,249500
Shahdol,December 2016,27.7,90200,325800
Shajapur,December 2016,155.45,275000,176900
Sheopur,December 2016,115.69,83200,71900
Shivpuri,December 2016,57.11,167400,293100
Sidhi,December 2016,114.94,244500,212700
Singrauli,December 2016,162.71,776200,477000
Tikamgarh,December 2016,42.9,116600,271800
Ujjain,December 2016,85.79,773100,901200
Umaria,December 2016,33.29,49500,148800
Vidisha,December 2016,126.64,414800,327600
Agar Malwa,March 2017,162.69,120960,74351
Alirajpur,March 2017,43.03,42452,98653
Anuppur,March 2017,198.83,587183,295322
Ashoknagar,March 2017,100.02,152473,152447
Balaghat,March 2017,42.77,132953,310826
Barwani,March 2017,112.05,279976,249863
Betul,March 2017,46.61,226753,486527
Bhind,March 2017,43.14,139176,322590
Bhopal,March 2017,56,3611823,6450147
Burhanpur,March 2017,86.03,205491,238862
Chhatarpur,March 2017,43.13,194139,450152
Chhindwara,March 2017,50.39,374036,742352
Damoh,March 2017,53.92,143409,265965
Datia,March 2017,75.33,131996,175220
Dewas,March 2017,100.56,399328,397101
Dhar,March 2017,78.95,355862,450744
Dindori,March 2017,39.62,35073,88528
East Nimar,March 2017,93.5,470422,503127
Guna,March 2017,76.64,216712,282756
Gwalior,March 2017,43.3,740786,1710891
Harda,March 2017,126.95,201189,158480
Indore,March 2017,96.03,4630317,4821976
Jabalpur,March 2017,40.04,999102,2495033
Jhabua,March 2017,74.41,141124,189645
