district,Block Name,Total Br(s),BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit &,USSD
Aizawl,TLANGNUAM,92,330107693,6270520,3673,23776851,236457,618844
Champhai,KHAWBUNG,3,39527,0,0,39527,0,0
HNAHTHIA,HNAHTHIAL,5,57419,96514,0,57506,97,6546
KHAWZAW,KHAWZAWL,8,71666,161317,0,72012,366,8078
Kolasib,BILKHAWTHLIR,6,408865,446550,87,82962,18094,36876
LAWNGTLA,S' BUNGTLANG,1,17676,0,0,17676,0,0
Lunglei,WEST,2,17012,0,0,17012,0,0
Mamit,ZAWLNUAM,8,120746,203718,0,121347,391,11430
Saiha,SAIHA,6,28021343,332627,0,3461397,6743,14928
Saitual,NGOPA,6,30940,50940,0,30940,12,2781
Serchhip,SERCHHIP,12,608123,266559,0,214274,4626,24459
