District,cumulative_as_on_02_02_2024_received,accepted,sanctioned,rejected,during_fy_as_on_02_02_2024_received,pendency_15_days
Adilabad,154.0,154.0,14.0,140.0,0.0,0.0
Bhadradri Kothagudem,289.0,289.0,75.0,214.0,0.0,0.0
Hanumakonda,99.0,99.0,86.0,13.0,91.0,0.0
Jagitial,144.0,144.0,96.0,48.0,0.0,0.0
Jangoan,16.0,16.0,11.0,5.0,0.0,0.0
Jogulamba Gadwal,698.0,698.0,685.0,13.0,0.0,0.0
Kamareddy,221.0,221.0,56.0,165.0,0.0,0.0
Karimnagar,102.0,102.0,61.0,41.0,0.0,0.0
Khammam,48.0,48.0,9.0,39.0,9.0,0.0
Kumuram Bheem Asifabad,70.0,70.0,47.0,23.0,0.0,0.0
Mahabubabad,191.0,191.0,20.0,171.0,0.0,0.0
Mahabubnagar,151.0,151.0,27.0,124.0,0.0,0.0
Mancherial,446.0,442.0,180.0,262.0,70.0,0.0
Medak,16.0,16.0,0.0,16.0,0.0,0.0
Medchal Malkajgiri,226.0,226.0,56.0,170.0,0.0,0.0
Mulugu,39.0,39.0,39.0,0.0,39.0,0.0
Nagarkurnool,950.0,950.0,10.0,940.0,127.0,0.0
Nalgonda,2.0,2.0,2.0,0.0,0.0,0.0
Narayanpet,123.0,123.0,43.0,80.0,0.0,0.0
Nirmal,38.0,38.0,12.0,26.0,0.0,0.0
Nizamabad,865.0,865.0,224.0,393.0,536.0,115.0
Peddapalli,66.0,66.0,63.0,3.0,22.0,0.0
Rajanna Sircilla,96.0,96.0,18.0,78.0,0.0,0.0
Sangareddy,777.0,777.0,284.0,493.0,0.0,0.0
Siddipet,144.0,144.0,144.0,0.0,144.0,0.0
Suryapet,405.0,405.0,252.0,153.0,0.0,0.0
Vikarabad,244.0,244.0,244.0,0.0,39.0,0.0
Wanaparthy,41.0,41.0,32.0,9.0,0.0,0.0
Warangal,2397.0,2397.0,1245.0,1152.0,0.0,0.0
Yadadri Bhuvanagiri,466.0,466.0,115.0,351.0,0.0,0.0
