district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,78,355.42,,,0.00,1498,2849.65,471,656.75,23.05,895,5189.53,229,691.22,13.32
Chatra,35,156.25,,,0.00,78,175.28,15,17.75,10.13,26,196.80,12,57.82,29.38
Deoghar,64,289.83,,,0.00,469,976.42,145,207.72,21.27,380,1742.34,66,303.72,17.43
Dhanbad,72,326.10,1.00,320.00,98.13,2281,3847.49,970,1087.34,28.26,3937,16610.11,635,2892.85,17.42
Dumka,41,187.98,,,0.00,80,182.15,24,32.97,18.10,108,907.05,37,182.66,20.14
East Singhbhum,78,353.30,,,0.00,2843,7016.32,904,1700.49,24.24,3140,11780.32,496,2256.62,19.16
Garhwa,32,142.65,,,0.00,121,240.81,36,35.35,14.68,104,488.48,23,69.44,14.21
Giridih,69,310.38,,,0.00,381,680.15,127,136.05,20.00,245,1152.25,67,171.95,14.92
Godda,34,151.72,,,0.00,160,278.53,46,52.01,18.67,140,1432.93,45,362.81,25.32
Gumla,29,129.05,,,0.00,314,525.26,31,42.18,8.03,63,413.95,24,60.94,14.72
Hazaribagh,64,289.83,,,0.00,571,1163.32,146,216.56,18.62,386,2244.62,105,345.78,15.40
Jamtara,22,99.73,,,0.00,328,407.98,34,43.01,10.54,22,217.91,6,46.29,21.24
Khunti,21,97.32,,,0.00,69,147.03,20,24.06,16.36,54,361.75,22,97.05,26.83
Koderma,32,147.18,,,0.00,247,421.04,73,91.72,21.79,128,713.50,23,95.50,13.38
Latehar,27,124.52,,,0.00,119,182.84,31,48.90,26.75,45,342.83,13,45.84,13.37
Lohardaga,21,97.32,,,0.00,67,126.30,20,19.16,15.17,87,214.24,9,34.58,16.14
Pakur,25,113.33,,,0.00,89,127.78,25,33.06,25.87,36,286.52,8,48.87,17.06
Palamu,41,183.45,,,0.00,283,552.54,88,125.21,22.66,211,1423.10,67,223.69,15.72
Ramgarh,50,228.50,,,0.00,390,777.76,124,172.43,22.17,211,1541.01,55,236.95,15.38
Ranchi,113,509.83,,,0.00,4789,11187.52,1033,1897.14,16.96,3810,28149.32,890,4419.63,15.70
Sahibganj,35,156.25,,,0.00,279,422.38,40,49.97,11.83,70,528.91,40,70.83,13.39
Seraikela-Kharsawan,47,212.77,,,0.00,1006,1445.09,152,187.44,12.97,546,2440.12,85,393.79,16.14
Simdega,20,92.79,,,0.00,39,64.17,17,33.55,52.29,33,100.00,3,17.19,17.19
West Singhbhum,53,244.50,,,0.00,570,1201.92,114,186.21,15.49,152,1522.37,48,330.36,21.70
